playerid,mlbamid,name,season,age,g,gs,ip,tbf,h,er,hr,so,bb,ibb,hbp,babip,lob_percent,fip,x_fip,ld_percent,hr_fb,f_bv,c_tv,s_fv,o_swing_percent,c_sw_str_percent,x_era,position,ev90,barrels,barrel_percent,k_percent,bb_percent,k_minus_bb_percent,era,xera_gap,fip_era_gap
21481,663546,Sean Hjelle,2024,27,58,0,80.2,337,84,35,10,75,14,2,5,0.31759656652360513,0.74157303,3.625157522082084,3.007014206896298,0.188284518,0.188679245,94.69161677,92.208,NA,0.29172714,0.31430935,3.56,RP,104.2,13,0.05349794,22.255192878338278,6.231454005934718,16.02373887240356,3.927680798004987,0.367680798004987,0.30252327592290307
12997,605155,Colten Brewer,2024,31,16,0,20.2,95,24,13,1,22,9,0,1,0.3709677419354839,0.55214724,3.118092675561339,4.244941285966936,0.163934426,0.041666666,94.37888199,91.41666667,NA,0.26511628,0.28826531,4.37,RP,103.6,5,0.07936508,23.157894736842106,10.526315789473683,12.631578947368423,5.792079207920792,1.4220792079207918,2.6739865323594527
24203,678821,Luis Peralta,2024,23,15,0,12.1,49,7,1,0,14,5,0,2,0.25,0.92857143,2.5989120205445975,4.070055827649571,0.222222222,0,95.09489051,NA,NA,0.22330097,0.26923077,3.03,RP,105.5,0,0,28.57142857142857,14.285714285714285,14.285714285714285,0.743801652892562,-2.2861983471074376,-1.8551103676520355
13164,593958,Eduardo Rodriguez,2024,31,10,10,50,224,56,28,8,47,19,1,1,0.3221476510067114,0.72530864,4.566479885101327,4.240409611441504,0.253246753,0.137931034,91.96420582,88.79640719,NA,0.31067961,0.25977011,5.53,SP,105,17,0.10828025,20.982142857142858,9.375,11.607142857142858,5.040000000000001,-0.4899999999999993,0.4735201148986743
20997,660825,Eduard Bazardo,2024,28,23,0,27.2,108,20,15,2,33,9,0,0,0.28125,0.53435115,2.6966002170259813,2.959161142493741,0.107692307,0.09090909,94.32038835,NA,90.79310345,0.32841328,0.3106576,2.43,RP,101.4,3,0.04545455,30.555555555555557,8.333333333333332,22.222222222222225,4.963235294117648,2.5332352941176475,2.2666350770916663
14975,641771,Chad Kuhl,2024,31,31,1,53.1,240,56,30,5,54,25,1,6,0.34,0.675,4.10397986769677,4.302737767484801,0.225165562,0.1,94.3047619,91.40384615,NA,0.25657895,0.25816327,4.22,RP,103.8,9,0.05806452,22.5,13.333333333333334,9.166666666666666,5.084745762711864,0.8647457627118644,0.9807658950150939
26259,685801,Hunter Bigge,2024,26,19,1,17.1,73,17,5,2,24,5,0,0,0.35714285714285715,0.88541667,2.7626335712094563,2.832796156150084,0.295454545,0.111111111,97.53672316,NA,NA,0.38202247,0.30333333,3.94,RP,103.8,5,0.11363636,32.87671232876712,6.8493150684931505,26.02739726027397,2.631578947368421,-1.3084210526315792,-0.1310546238410355
6562,502171,Alex Cobb,2024,36,3,3,16.1,62,14,5,1,10,3,0,0,0.2708333333333333,0.64102564,3.288928767414404,3.696445693888006,0.122448979,0.076923076,93.88461538,NA,NA,0.30344828,0.24793388,5.01,SP,106.4,3,0.06122449,16.129032258064516,4.838709677419355,11.29032258064516,2.795031055900621,-2.214968944099379,-0.49389771151378303
19349,657571,Caleb Ferguson,2024,27,62,0,54.1,249,56,28,6,67,25,1,4,0.3401360544217687,0.66579634,3.7370320991137027,3.553726122117466,0.236842105,0.133333333,93.936,NA,NA,0.32457786,0.28813559,4.11,RP,104.9,10,0.06535948,26.907630522088354,12.048192771084338,14.859437751004016,4.658040665434381,0.5480406654343808,0.9210085663206784
6984,472610,Luis Garcia,2024,37,60,0,59,254,61,32,8,53,15,2,3,0.3028571428571429,0.63421829,4.047835838709113,3.617741490099073,0.213114754,0.153846153,96.43047619,88,87.15568862,0.35057471,0.27728285,3.54,RP,105.5,12,0.06557377,20.866141732283463,7.874015748031496,12.992125984251967,4.88135593220339,1.3413559322033901,0.8335200934942772
17606,664299,Cristian Javier,2024,27,7,7,34.2,150,30,15,4,27,19,0,0,0.26,0.76036866,4.7530183562160335,5.564646652192083,0.233009708,0.075471698,91.69642857,NA,NA,0.28242075,0.2591944,4.56,SP,103.5,7,0.06730769,18,12.666666666666668,5.333333333333332,3.9473684210526314,-0.6126315789473682,-0.8056499351634021
