PlayerId,Name,Team,Acquired,Division,controlled_years,war_under_control,salary_under_control,surplus_value_under_control,aav,war_per_year_of_control
14221,Jorge Soler,KCR,Traded,AL Central,2,0.9,9.2,-1.616831953599998,4.6,0.4
14225,Yasiel Puig,CIN,Traded,NL Central,1,1.8,9.7,4.378496000000004,9.7,1.8
14274,Mitch Haniger,SEA,Traded,AL West,4,9.2,14.1,62.37262048130481,3.525,2.3
14320,Wilmer Difo,WSN,Amateur Free Agent,NL East,4,1.1,8.7,-0.06494608895509102,2.175,0.3
14330,Nick Williams,PHI,Traded,NL East,5,0.7,1.1,8.908135207199999,0.22000000000000003,0.1
14344,Matt Olson,OAK,Amateur Draft,AL West,5,10.8,1.1,40.64986358928,0.22000000000000003,2.2
14388,Ronald Guzman,TEX,Amateur Free Agent,AL West,5,1.5,1.1,10.4230418888,0.22000000000000003,0.3
14444,Hyun-Jin Ryu,LAD,Free Agency,NL West,1,0.4,17.9,-14.400279295999999,17.9,0.4
14477,Jake Cave,MIN,Traded,AL Central,5,1.4,1.6,14.42839059221,0.32,0.3
14503,Renato Nunez,BAL,Waivers,AL East,4,3,1.1,15.389756337440003,0.275,0.8
14524,Jose Leclerc,TEX,Amateur Free Agent,AL West,4,3,13.4,11.044916932214056,3.35,0.8
14553,Nomar Mazara,TEX,Amateur Free Agent,AL West,3,3.1,16,9.161958027808003,5.333333333333333,1
14566,Franmil Reyes,SDP,Amateur Free Agent,NL West,5,4,1.6,24.861048440530002,0.32,0.8
14567,Franchy Cordero,SDP,Amateur Free Agent,NL West,5,0.9,1.1,8.651747609120001,0.22000000000000003,0.2
14593,David Bote,CHC,Amateur Draft,NL Central,5,1.7,8.5,4.904589225188525,1.7,0.3
14696,Keone Kela,PIT,Traded,NL Central,2,1.4,7.8,3.504512827040001,3.9,0.7
14710,Edwin Diaz,NYM,Traded,NL East,4,6.3,12.1,39.71512425623299,3.025,1.6
14712,Manuel Margot,SDP,Traded,NL West,4,3.9,10.2,21.697773438220153,2.55,1
14811,Luke Voit,NYY,Traded,AL East,5,2.2,1.1,15.686612576799998,0.22000000000000003,0.4
14818,JaCoby Jones,DET,Traded,AL Central,5,0.5,1.1,9.18491946832,0.22000000000000003,0.1
14862,Zack Godley,ARI,Traded,NL West,4,4.4,11,25.59420096320686,2.75,1.1
14916,Jon Gray,COL,Amateur Draft,NL West,3,5.3,14.3,28.926673202399996,4.766666666666667,1.8
14950,Johan Camargo,ATL,Amateur Free Agent,NL East,5,8.4,1.1,33.91807170000001,0.22000000000000003,1.7
14975,Chad Kuhl,PIT,Amateur Draft,NL Central,4,0.4,8.4,-5.186273512859795,2.1,0.1
15010,Corey Knebel,MIL,Traded,NL Central,3,1.7,21.2,-7.7860610991999994,7.066666666666666,0.6
15038,German Marquez,COL,Traded,NL West,4,9.1,13.9,61.61772536796781,3.475,2.3
15112,Ryan McMahon,COL,Amateur Draft,NL West,5,0.2,1.1,6.299807771935999,0.22000000000000003,0
15149,Trey Mancini,BAL,Amateur Draft,AL East,4,0.7,0.6,4.537805120000001,0.15,0.2
15172,Tim Anderson,CHW,Amateur Draft,AL Central,4,4.7,21.2,17.50983283370891,5.3,1.2
15189,Dustin Peterson,DET,Waivers,AL Central,5,0.1,1.6,6.197951706846799,0.32,0
15191,Chad Pinder,OAK,Amateur Draft,AL West,4,2.9,9.8,13.743533253290654,2.45,0.7
15194,Jake Bauers,CLE,Traded,AL Central,5,2.7,1.6,18.305003577938002,0.32,0.5
15223,Adam Frazier,PIT,Amateur Draft,NL Central,4,3.4,10.3,17.690746371700047,2.575,0.8
15362,Jeff McNeil,NYM,Amateur Draft,NL East,5,4.7,1.6,30.95760904597,0.32,0.9
15423,Andrew Heaney,LAA,Traded,AL West,3,1.6,14.1,-1.2226004547223948,4.7,0.5
15429,Kris Bryant,CHC,Amateur Draft,NL Central,3,10.1,53.4,29.760868418889988,17.8,3.4
15440,Matthew Boyd,DET,Traded,AL Central,4,3.3,19.5,7.379784809322003,4.875,0.8
15454,Nick Pivetta,PHI,Traded,NL East,5,4.1,1.1,22.01555394,0.22000000000000003,0.8
15464,Hunter Renfroe,SDP,Amateur Draft,NL West,5,2.4,0.6,8.541111039999999,0.12,0.5
15467,Marco Gonzales,SEA,Traded,AL West,5,3.9,1.9,20.478374974719998,0.38,0.8
15488,Antonio Senzatela,COL,Amateur Free Agent,NL West,5,1.7,1.1,14.092290196,0.22000000000000003,0.3
15490,Justin Williams,STL,,NL Central,5,1.1,1.6,10.3004464984372,0.32,0.2
15518,Amed Rosario,NYM,Amateur Free Agent,NL East,5,5.1,1.1,21.264274669600006,0.22000000000000003,1
15519,Franklin Barreto,OAK,Traded,AL West,5,2.6,1.6,17.018126296402002,0.32,0.5
15552,Chad Green,NYY,Traded,AL East,4,2.4,9.7,10.197059122006866,2.425,0.6
15640,Aaron Judge,NYY,Amateur Draft,AL East,4,16.9,18.9,121.704345159985,4.725,4.2
15654,Billy McKinney,TOR,Traded,AL East,5,0.1,1.6,6.3694107747892,0.32,0
15672,Austin Meadows,TBR,Traded,AL East,5,1.6,1.6,12.786233869394,0.32,0.3
15676,Jose Abreu,CHW,Amateur Free Agent,AL Central,1,1.5,16,-3.6405568000000006,16,1.5
15679,Rowdy Tellez,TOR,Amateur Draft,AL East,5,2.3,1.6,16.46689934933,0.32,0.5
15689,Luis Castillo,CIN,Traded,NL Central,5,2.9,1.1,18.009844756,0.22000000000000003,0.6
15711,Tyler O'Neill,STL,Traded,NL Central,5,4.4,1.6,26.49168482581,0.32,0.9
15734,Brad Keller,KCR,Traded,AL Central,5,3.1,1.1,18.78898306,0.22000000000000003,0.6
15761,Joe Jimenez,DET,Amateur Free Agent,AL Central,5,0.1,1.1,8.9928920776,0.22000000000000003,0
15764,Masahiro Tanaka,NYY,Free Agency,AL East,2,3.1,44.5,-19.277719903999994,22.25,1.6
15873,Sean Manaea,OAK,Traded,AL West,4,3.5,12.9,15.819436063468126,3.225,0.9
15878,Miguel Andujar,NYY,Amateur Free Agent,AL East,5,7.9,1.2,30.300131956,0.24,1.6
15890,Luis Severino,NYY,Amateur Free Agent,AL East,4,14.3,35.8,83.08627416683936,8.95,3.6
15937,Aledmys Diaz,HOU,Traded,AL West,4,2.1,10.9,5.924407959322874,2.725,0.5
15986,Willy Adames,TBR,Traded,AL East,5,4.4,1.6,26.568578569170004,0.32,0.9
15998,Cody Bellinger,LAD,Amateur Draft,NL West,5,14.7,0.6,25.8166,0.12,2.9
16137,Carlos Rodon,CHW,Amateur Draft,AL Central,3,0.8,17.4,-10.683815993436001,5.8,0.3
16149,Aaron Nola,PHI,Amateur Draft,NL East,4,13.3,39.1,71.30883972210611,9.775,3.3
16221,Bradley Zimmer,CLE,Amateur Draft,AL Central,5,0.7,1.1,9.967738951200001,0.22000000000000003,0.1
16252,Trea Turner,WSN,Traded,NL East,4,13,27.9,80.68625243126371,6.975,3.2
16256,Kyle Freeland,COL,Amateur Draft,NL West,4,7.8,13.1,51.8267509895531,3.275,2
16285,Michael Hermosillo,LAA,Amateur Draft,AL West,5,1.3,1.6,11.363973822738,0.32,0.3
16313,Yairo Munoz,STL,Traded,NL Central,5,1.3,1.1,8.8137515528,0.22000000000000003,0.3
16350,Ryan Borucki,TOR,Amateur Draft,AL East,5,0.4,1.6,10.148303817169998,0.32,0.1
16357,Pablo Reyes,PIT,Amateur Free Agent,NL Central,5,0.3,1.6,8.132190223057998,0.32,0.1
16376,Michael Conforto,NYM,Amateur Draft,NL East,3,8.3,19.6,48.471735994992,6.533333333333334,2.8
16400,Reynaldo Lopez,CHW,Traded,AL Central,5,2.8,1.1,17.544030624800005,0.22000000000000003,0.6
16403,Francisco Mejia,SDP,Traded,NL West,5,0.8,1.6,8.686276808158802,0.32,0.2
16411,Richard Urena,TOR,Amateur Free Agent,AL East,5,2.8,1.6,17.637397100306003,0.32,0.6
16442,Ryan O'Hearn,KCR,Amateur Draft,AL Central,5,1.2,1.6,12.37467772501,0.32,0.2
16472,Rhys Hoskins,PHI,Amateur Draft,NL East,5,8.8,1.1,35.173254804,0.22000000000000003,1.8
16478,Kyle Schwarber,CHC,Amateur Draft,NL Central,3,6.2,16.5,34.8519553899744,5.5,2.1
16505,Matt Chapman,OAK,Amateur Draft,AL West,5,18.1,1.1,65.59151726800002,0.22000000000000003,3.6
16512,Isiah Kiner-Falefa,TEX,Amateur Draft,AL West,5,1.2,1.1,8.687717913376002,0.22000000000000003,0.2
16535,Danny Jansen,TOR,Amateur Draft,AL East,5,3.3,1.6,21.291121637458,0.32,0.7
16556,Ozzie Albies,ATL,Amateur Free Agent,NL East,5,14.4,16,106.35162096874649,3.2,2.9
16622,Luis Urias,SDP,Amateur Free Agent,NL West,5,3.5,1.6,20.467257479506003,0.32,0.7
16918,Luke Weaver,ARI,Traded,NL West,5,1.1,1.1,12.048451386399996,0.22000000000000003,0.2
16943,Sean Newcomb,ATL,Traded,NL East,5,1.7,1.1,14.097681139999999,0.22000000000000003,0.3
16977,Trevor Williams,PIT,Traded,NL Central,4,4.6,11,26.57539897279405,2.75,1.1
16997,Gleyber Torres,NYY,Traded,AL East,5,6.8,1.1,25.82408994,0.22000000000000003,1.4
17016,Rusney Castillo,BOS,Amateur Free Agent,AL East,3,-3.5,25.7,-34.264911753472,8.566666666666666,-1.2
17027,Alex Verdugo,LAD,Amateur Draft,NL West,5,2.3,1.6,15.512046848146,0.32,0.5
17085,Pablo Lopez,MIA,Traded,NL East,3,0.3,1.6,0.6077215217460009,0.5333333333333333,0.1
17128,Ramon Laureano,OAK,Traded,AL West,5,5.2,1.6,31.698395320530004,0.32,1
17130,Raisel Iglesias,CIN,Amateur Free Agent,NL Central,3,0.2,27.7,-26.622711120600002,9.233333333333333,0.1
17171,Yasmany Tomas,ARI,Amateur Free Agent,NL West,3,-0.7,56.5,-62.802676109784,18.833333333333332,-0.2
17232,Yoan Moncada,CHW,Traded,AL Central,5,7.4,1.1,28.737444564,0.22000000000000003,1.5
17350,Rafael Devers,BOS,Amateur Free Agent,AL East,5,5.5,1.2,21.4731713352,0.24,1.1
17479,Jack Flaherty,STL,Amateur Draft,NL Central,5,2.6,1.1,17.067696847519997,0.22000000000000003,0.5
17678,Alex Bregman,HOU,Amateur Draft,AL West,5,23.1,65.9,129.74728234128654,13.180000000000001,4.6
17719,Steven Duggar,SFG,Amateur Draft,NL West,5,0.9,1.6,11.232444252498,0.32,0.2
17780,Jose Alvarado,TBR,Amateur Free Agent,AL East,5,2.9,1.1,17.987880276,0.22000000000000003,0.6
17901,Andrew Benintendi,BOS,Amateur Draft,AL East,4,11.3,15.1,79.1093396510809,3.775,2.8
17919,Ian Happ,CHC,Amateur Draft,NL Central,5,5.9,1.1,24.980260948,0.22000000000000003,1.2
17929,Cedric Mullins II,BAL,Amateur Draft,AL East,4,0.3,1.6,3.3717062709300003,0.4,0.1
17975,Scott Kingery,PHI,Amateur Draft,NL East,5,0.1,20.7,-20.912961996655902,4.14,0
17992,David Fletcher,LAA,Amateur Draft,AL West,5,4.9,1.6,29.763181218770004,0.32,1
18015,Paul DeJong,STL,Amateur Draft,NL Central,5,10.6,21.5,67.80279065629963,4.3,2.1
18030,Harrison Bader,STL,Amateur Draft,NL Central,5,8.8,1.1,34.425658810399995,0.22000000000000003,1.8
18289,Brian Anderson,MIA,Amateur Draft,NL East,3,5.5,1.1,31.075638229280006,0.3666666666666667,1.8
18314,Dansby Swanson,ATL,Traded,NL East,4,4.4,10.6,25.602109401286956,2.65,1.1
18363,Victor Robles,WSN,Amateur Free Agent,NL East,5,4.5,1.6,25.1931719375028,0.32,0.9
18401,Ronald Acuna Jr.,ATL,Amateur Free Agent,NL East,5,12.1,36.4,65.70942709366079,7.279999999999999,2.4
18498,Kenta Maeda,LAD,Free Agency,NL West,5,2.5,14.9,5.300985092198205,2.98,0.5
18679,Freddy Peralta,MIL,Traded,NL Central,4,1.1,1.6,10.07235277077,0.4,0.3
18719,Seunghwan Oh,COL,Traded,NL West,3,-2.3,12.2,-30.951324822624002,4.066666666666666,-0.8
18882,Brandon Lowe,TBR,Amateur Draft,AL East,5,2.2,13.4,4.677680795195832,2.68,0.4
