Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Age,1B,2B,3B,BB,IBB,HBP,SF,SH,SO,H,AB,Barrels,NameASCII,PlayerId,MLBAMID
"Roberto Pérez","PIT",21,69,2,8,8,0,0.130434782,0.36231884,0.133333333,0.363636363,0.233333333,0.333333333,0.366666666,0.3145530517550482,0.308,99.72152571625796,-0.06478820508345962,-0.0871126439824007,3.3782805055379868,0.5945199547554934,33,10,2,0,9,0,0,0,0,25,14,60,4,"Roberto Perez",2900,547379
"Jed Lowrie","OAK",50,184,3,14,16,1,0.081521739,0.211956521,0.083832335,0.212598425,0.179640718,0.244565217,0.263473053,0.22988731770411783,0.247,48.92579913466642,-0.10583396023139358,-10.68098907685739,-4.548900157213211,-0.988450283405186,38,22,5,0,15,0,0,2,0,39,30,167,4,"Jed Lowrie",4418,476704
"Austin Romine","- - -",51,136,3,10,9,0,0.029411764,0.338235294,0.093023256,0.2125,0.155038759,0.186567164,0.248062015,0.1929069797494518,0.195,14.749698054951637,-1.2318561236170353,-14.681531400415194,-3.7071612626314163,-1.4426485160825742,33,14,3,0,4,0,1,0,2,46,20,129,4,"Austin Romine",5491,519222
"Kurt Suzuki","LAA",51,159,4,10,15,0,0.094339622,0.182389937,0.115107913,0.194444444,0.179856115,0.265822784,0.294964028,0.25399343273307706,0.255,60.23689253613698,-1.5767929693683982,-8.691299533579443,-4.205399513244629,-0.8264401982919358,38,17,4,0,15,0,2,2,1,29,25,139,4,"Kurt Suzuki",8259,435559
"Jonathan Villar","- - -",59,220,3,25,18,7,0.068181818,0.268181818,0.094059406,0.274647887,0.207920792,0.260273972,0.301980198,0.24985425602899838,0.247,59.468253115353015,2.055011353455484,-8.162295521059319,-10.83035397529602,-1.2160061432559646,31,31,6,2,15,0,0,2,1,59,42,202,4,"Jonathan Villar",10071,542340
"Tucker Barnhart","DET",94,308,1,16,16,0,0.081168831,0.24025974,0.046263345,0.296116504,0.220640569,0.286644951,0.266903914,0.25310089359065996,0.244,62.55150921505077,-1.2391236810944974,-14.218456818960677,6.971027612686157,0.2611923288173047,31,51,10,0,25,0,1,0,1,74,62,281,4,"Tucker Barnhart",10200,571466
"Jake Marisnick","PIT",31,82,2,9,6,2,0.048780487,0.292682926,0.155844156,0.31372549,0.233766233,0.271604938,0.389610389,0.282720060646534,0.27,77.95494491750328,0.11695342371240258,-1.9832985743307638,3.166605234146118,0.4201075695605608,31,10,6,0,4,1,0,0,1,24,18,77,4,"Jake Marisnick",11339,545350
"Ildemaro Vargas","- - -",63,222,4,19,23,3,0.036036036,0.103603603,0.129186603,0.278688524,0.263157894,0.298642533,0.392344497,0.3016362775504859,0.255,94.13418478837741,0.9916809424757957,-0.5212800035867489,6.5672778487205505,1.4358072681721434,30,37,13,1,8,0,3,1,1,23,55,209,4,"Ildemaro Vargas",13324,545121
"Tom Murphy","SEA",14,42,1,9,1,0,0.19047619,0.309523809,0.151515151,0.47368421,0.303030303,0.43902439,0.454545454,0.3973625055173548,0.42,169.55437876756943,-0.24270974891260266,3.044603647673917,0.6180910505354404,0.5239531734339756,31,7,2,0,8,0,0,0,0,13,10,33,4,"Tom Murphy",13499,608596
"Miguel Andujar","- - -",36,140,1,13,17,4,0.035714285,0.192857142,0.075757576,0.280373831,0.234848484,0.257142857,0.31060606,0.24740618807928902,0.278,56.12788636073072,0.8722758577205241,-6.074788089538854,-0.8476721197366714,-0.25064331848851557,27,24,5,1,5,0,0,3,0,27,31,132,4,"Miguel Andujar",15878,609280
"Travis Demeritte","ATL",26,96,3,9,6,0,0.0625,0.333333333,0.123595505,0.29090909,0.213483146,0.260416666,0.337078651,0.26297222326199216,0.263,65.8542198576211,-0.9458655621856451,-4.754371513359214,-3.2722933292388916,-0.4963924624275593,27,14,2,0,6,0,0,1,0,32,19,89,4,"Travis Demeritte",15958,641513
"Yermín Mercedes","SFG",31,83,1,9,8,0,0.108433734,0.204819277,0.109589041,0.29090909,0.232876712,0.325301204,0.342465753,0.3014536586152502,0.329,95.34597184471045,-0.11387021793052554,-0.562670854785895,-4.094478011131287,-0.1895109142580184,29,11,5,0,9,0,1,0,0,17,17,73,4,"Yermin Mercedes",17423,606213
"Kevin Newman","PIT",78,309,2,31,24,8,0.051779935,0.155339805,0.097222222,0.322175732,0.274305555,0.315960912,0.371527777,0.3025833717774879,0.285,91.53696632381316,2.9960411093197763,-0.04226071431821499,1.1151708364486694,1.2275563460376673,28,57,18,2,16,0,2,1,2,48,79,288,4,"Kevin Newman",17696,621028
"Skye Bolt","OAK",42,116,4,10,13,5,0.060344827,0.258620689,0.132075472,0.232876712,0.198113207,0.258620689,0.330188679,0.2614685790292148,0.261,71.22150669408255,0.9200175758451223,-2.8365688525109967,0.21773037314414978,0.10999557610095857,28,15,2,0,7,0,2,1,0,30,21,106,4,"Skye Bolt",17723,621450
"Tyler Nevin","BAL",58,184,2,17,16,0,0.108695652,0.25,0.063694267,0.258928571,0.197452229,0.298913043,0.261146496,0.260553865329079,0.293,69.23796085929858,-0.8537132064811885,-7.2231390634688575,-3.6044559478759766,-0.5262254003107991,25,25,4,0,20,0,4,3,0,46,31,157,4,"Tyler Nevin",17893,663527
"Hoy Park","PIT",23,60,2,7,6,1,0.066666666,0.25,0.156862745,0.25,0.215686274,0.275862068,0.372549019,0.28153622664254285,0.269,77.14546966548104,0.433946093544364,-1.1592525101218811,-5.3528852462768555,-0.46726443440060994,26,7,2,0,4,0,1,2,2,15,11,51,4,"Hoy Park",18027,660829
"Garrett Stubbs","PHI",50,121,5,19,16,2,0.115702479,0.247933884,0.198113207,0.323943661,0.264150943,0.35,0.46226415,0.3546582152446111,0.275,129.153780202355,0.583831712603569,4.68234749105556,-2.342190384864807,0.682288784502894,29,18,4,1,14,0,0,0,1,30,28,106,4,"Garrett Stubbs",18067,596117
"Daz Cameron","DET",21,70,1,6,8,2,0.071428571,0.285714285,0.125,0.302325581,0.21875,0.285714285,0.34375,0.2796623272555215,0.303,81.3033238197439,0.8227176289074123,-0.6500349417678666,-2.1582386195659637,-0.06255259307024019,25,9,3,1,5,0,1,0,0,20,14,64,4,"Daz Cameron",18353,663662
"José Azocar","SDP",98,216,0,24,10,5,0.055555555,0.203703703,0.074257426,0.327044025,0.257425742,0.297674418,0.331683168,0.2780291851176772,0.272,81.04911791878612,-0.5846522655338049,-5.340517572813979,4.452181339263916,0.6860787740772214,26,40,9,3,12,0,0,1,1,44,52,202,4,"Jose Azocar",18821,640492
"Brian Serven","COL",62,205,6,19,16,0,0.063414634,0.214634146,0.128342246,0.231884057,0.203208556,0.261083743,0.331550802,0.2627454491084432,0.254,53.71457041902726,-0.9014272792264819,-11.92556235100815,10.458040803670883,0.5855772589643126,27,27,4,1,13,0,2,1,2,44,38,187,4,"Brian Serven",19422,661531
"Kyle Lewis","SEA",18,62,3,6,5,0,0.080645161,0.306451612,0.160714286,0.147058823,0.142857142,0.225806451,0.303571428,0.23869662803988304,0.3,57.53959989347071,-0.2449070760048926,-3.207303091490519,-1.362716019153595,-0.2740787163600443,26,5,0,0,5,0,1,0,0,19,8,56,4,"Kyle Lewis",19508,641786
"Chuckie Robinson","CIN",25,60,2,3,5,0,0,0.283333333,0.13559322,0.15,0.13559322,0.13559322,0.27118644,0.17292135852878376,0.255,-1.0339784592298549,0.08553613908588886,-6.957583585889136,1.7458374500274658,-0.33072804351679047,27,4,2,0,0,0,0,0,1,17,8,59,4,"Chuckie Robinson",19824,642020
"Connor Wong","BOS",27,56,1,8,7,0,0.089285714,0.285714285,0.125,0.25,0.1875,0.272727272,0.3125,0.262538527358662,0.277,62.270354285544826,0.0621194145642221,-2.3154767819323574,0.7924600839614868,0.025933519807971567,26,5,3,0,5,0,1,1,1,16,9,48,4,"Connor Wong",19896,657136
