Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Age,1B,2B,3B,BB,IBB,HBP,SF,SH,SO,H,AB,NameASCII,PlayerId,MLBAMID
"Jung Hoo Lee","SFG",37,158,2,15,8,2,0.063291139,0.082278481,0.068965517,0.272727272,0.262068965,0.310126582,0.331034482,0.28445094107072566,0.319,83.08855911475095,-0.16317809373140335,-3.358384977564791,-0.32720327377319336,0.1635654806897623,25,32,4,0,10,0,1,2,0,13,38,145,"Jung Hoo Lee",33824,808982
"Evan Carter","TEX",45,162,5,23,15,2,0.092592592,0.265432098,0.173611111,0.226804123,0.1875,0.271604938,0.361111111,0.2782459454036053,0.281,79.53195038692843,1.1824028119444847,-2.6115950596650164,-1.7916186451911926,0.10435120235474768,21,14,6,2,15,0,2,1,0,43,27,144,"Evan Carter",27790,694497
"J.D. Davis","- - -",46,157,4,13,6,0,0.076433121,0.248407643,0.11971831,0.272727272,0.218309859,0.29299363,0.338028169,0.2821557669882562,0.284,85.67779743002278,-0.8443463668227196,-3.4171999490834573,-5.884800389409065,-0.41884068966097665,31,22,5,0,12,0,3,0,0,39,31,142,"J.D. Davis",16219,605204
"Austin Barnes","LAD",54,156,1,12,11,3,0.089743589,0.23076923,0.042857143,0.349514563,0.264285714,0.331168831,0.307142857,0.2893326820491196,0.27,86.10568620202024,0.09061593562364578,-2.5013123775295556,2.466220736503601,0.5336918157915304,34,33,3,0,14,0,0,0,2,36,37,140,"Austin Barnes",12158,605131
"Kyle McCann","OAK",54,157,5,13,15,0,0.101910828,0.375796178,0.135714286,0.368421052,0.235714285,0.318471337,0.371428571,0.30438493536068845,0.274,101.87146780041243,-2.743092715740204,-2.4069005266651695,-1.0739170908927917,0.18235784526930213,26,24,4,0,16,1,1,0,0,59,33,140,"Kyle McCann",25575,668832
"Christian Bethancourt","- - -",62,147,5,18,22,3,0.034013605,0.244897959,0.158273381,0.244897959,0.208633093,0.24137931,0.366906474,0.26333866324918026,0.267,65.8372085284152,0.4699086179025471,-5.5353535127784355,2.6605435013771057,0.209413149785743,32,17,7,0,5,0,1,0,2,36,29,139,"Christian Bethancourt",10028,542194
"Reese McGuire","BOS",53,158,3,10,18,3,0.082278481,0.246835443,0.086330935,0.26,0.208633093,0.280254777,0.294964028,0.2585388627021935,0.282,59.85663237673645,-0.2533356249332428,-7.510659366493197,3.7155138850212097,0.15334604329061402,29,23,3,0,13,0,2,3,1,39,29,139,"Reese McGuire",15674,624512
"Alex Jackson","TBR",58,155,3,17,12,1,0.077419354,0.341935483,0.115107913,0.166666666,0.122302158,0.201298701,0.237410071,0.20007716874023537,0.223,28.57919694455111,0.60460215061903,-12.062055554484758,5.855067133903503,-0.10609741803850409,28,7,7,0,12,0,2,1,1,53,17,139,"Alex Jackson",17276,656577
"Tommy Edman","LAD",37,153,6,20,20,6,0.071895424,0.196078431,0.179856116,0.257142857,0.237410071,0.294117647,0.417266187,0.30703503360935286,0.266,98.02058223008765,1.6902581229805946,1.3281067133692033,1.861265242099762,0.8563740951585926,29,21,5,1,11,0,1,2,0,30,33,139,"Tommy Edman",19470,669242
"Tyler Wade","SDP",90,156,0,28,8,8,0.07051282,0.185897435,0.02173913,0.275229357,0.217391304,0.284768211,0.239130434,0.2423201957285799,0.281,56.44147676430361,1.6682986617088318,-6.457368520945332,-1.792607694864273,-0.3147228119129204,29,27,3,0,11,0,2,0,4,29,30,138,"Tyler Wade",15730,642180
