Name,PlayerId,Age,player_type,mlbamid,compound_id,display_name,position_detail,position
Cole Henry,27570,26,pitcher,669371,27570_pitcher,Cole Henry,RP,RP
Cole Ragans,21846,28,pitcher,666142,21846_pitcher,Cole Ragans,SP,SP
Cole Sands,21461,28,pitcher,663485,21461_pitcher,Cole Sands,RP,RP
Cole Sulser,15256,36,pitcher,642121,15256_pitcher,Cole Sulser,RP,RP
Cole Wilcox,27481,26,pitcher,677961,27481_pitcher,Cole Wilcox,RP,RP
Cole Winn,22113,26,pitcher,668390,22113_pitcher,Cole Winn,RP,RP
Cole Young,31680,22,hitter,702284,31680_hitter,Cole Young,Hitter,NA
Colin Holderman,22361,30,pitcher,670059,22361_pitcher,Colin Holderman,RP,RP
Colin Rea,12317,35,pitcher,607067,12317_pitcher,Colin Rea,RP,RP
Colson Montgomery,29712,24,hitter,695657,29712_hitter,Colson Montgomery,Hitter,NA
Colt Keith,27899,24,hitter,690993,27899_hitter,Colt Keith,Hitter,NA
Colton Cowser,29591,26,hitter,681297,29591_hitter,Colton Cowser,Hitter,NA
Connelly Early,33666,24,pitcher,813349,33666_pitcher,Connelly Early,SP,SP
Connor Brogdon,21205,31,pitcher,641401,21205_pitcher,Connor Brogdon,RP,RP
Connor Joe,16572,33,hitter,656582,16572_hitter,Connor Joe,Hitter,NA
Connor Norby,29592,26,hitter,681393,29592_hitter,Connor Norby,Hitter,NA
Connor Phillips,27649,25,pitcher,683175,27649_pitcher,Connor Phillips,RP,RP
Connor Seabold,19695,30,pitcher,657756,19695_pitcher,Connor Seabold,RP,RP
Connor Wong,19896,30,hitter,657136,19896_hitter,Connor Wong,Hitter,NA
Cooper Criswell,24975,29,pitcher,681867,24975_pitcher,Cooper Criswell,RP,RP
Corbin Carroll,25878,25,hitter,682998,25878_hitter,Corbin Carroll,Hitter,NA
Corey Seager,13624,32,hitter,608369,13624_hitter,Corey Seager,Hitter,NA
Craig Kimbrel,6655,38,pitcher,518886,6655_pitcher,Craig Kimbrel,RP,RP
Cristian Javier,17606,29,pitcher,664299,17606_pitcher,Cristian Javier,SP,SP
Cristopher Sanchez,20778,29,pitcher,650911,20778_pitcher,Cristopher Sanchez,SP,SP
Curtis Mead,23986,25,hitter,678554,23986_hitter,Curtis Mead,Hitter,NA
DL Hall,22207,27,pitcher,669084,22207_pitcher,DL Hall,RP,RP
Dalton Rushing,31382,25,hitter,687221,31382_hitter,Dalton Rushing,Hitter,NA
Dane Myers,22054,30,hitter,667472,22054_hitter,Dane Myers,Hitter,NA
Daniel Lynch IV,21537,29,pitcher,663738,21537_pitcher,Daniel Lynch IV,RP,RP
Daniel Palencia,27914,26,pitcher,694037,27914_pitcher,Daniel Palencia,RP,RP
Daniel Schneemann,25180,29,hitter,682177,25180_hitter,Daniel Schneemann,Hitter,NA
Daniel Susac,31441,25,hitter,691740,31441_hitter,Daniel Susac,Hitter,NA
Danny Coulombe,13293,36,pitcher,543056,13293_pitcher,Danny Coulombe,RP,RP
Danny Jansen,16535,31,hitter,643376,16535_hitter,Danny Jansen,Hitter,NA
Dansby Swanson,18314,32,hitter,621020,18314_hitter,Dansby Swanson,Hitter,NA
Darell Hernaiz,26224,24,hitter,687231,26224_hitter,Darell Hernaiz,Hitter,NA
Daulton Varsho,19918,29,hitter,662139,19918_hitter,Daulton Varsho,Hitter,NA
David Bednar,19569,31,pitcher,670280,19569_pitcher,David Bednar,RP,RP
David Fry,24934,30,hitter,681807,24934_hitter,David Fry,Hitter,NA
David Hamilton,27531,28,hitter,666152,27531_hitter,David Hamilton,Hitter,NA
David Morgan,31616,26,pitcher,688158,31616_pitcher,David Morgan,RP,RP
David Peterson,20302,30,pitcher,656849,20302_pitcher,David Peterson,SP,SP
Davis Martin,21448,29,pitcher,663436,21448_pitcher,Davis Martin,SP,SP
Davis Schneider,23565,27,hitter,676914,23565_hitter,Davis Schneider,Hitter,NA
Daylen Lile,29995,23,hitter,695734,29995_hitter,Daylen Lile,Hitter,NA
Dean Kremer,19350,30,pitcher,665152,19350_pitcher,Dean Kremer,SP,SP
Dennis Santana,17878,30,pitcher,642701,17878_pitcher,Dennis Santana,RP,RP
Denzel Clarke,29858,26,hitter,672016,29858_hitter,Denzel Clarke,Hitter,NA
Derek Hill,16947,30,hitter,656537,16947_hitter,Derek Hill,Hitter,NA
Devin Williams,15816,31,pitcher,642207,15816_pitcher,Devin Williams,RP,RP
Deyvison De Los Santos,27969,23,hitter,691277,27969_hitter,Deyvison De Los Santos,Hitter,NA
Didier Fuentes,30661,21,pitcher,800311,30661_pitcher,Didier Fuentes,RP,RP
Dietrich Enns,13932,35,pitcher,608650,13932_pitcher,Dietrich Enns,RP,RP
Dillon Dingler,27464,27,hitter,693307,27464_hitter,Dillon Dingler,Hitter,NA
Dominic Canzone,26438,28,hitter,686527,26438_hitter,Dominic Canzone,Hitter,NA
Dominic Smith,15653,31,hitter,642086,15653_hitter,Dominic Smith,Hitter,NA
Drake Baldwin,31539,25,hitter,686948,31539_hitter,Drake Baldwin,Hitter,NA
Drew Anderson,15130,32,pitcher,623454,15130_pitcher,Drew Anderson,RP,RP
Drew Millas,25643,28,hitter,686452,25643_hitter,Drew Millas,Hitter,NA
Drew Pomeranz,11426,37,pitcher,519141,11426_pitcher,Drew Pomeranz,RP,RP
Drew Rasmussen,25385,30,pitcher,656876,25385_pitcher,Drew Rasmussen,SP,SP
Duncan Davitt,31886,26,pitcher,701474,31886_pitcher,Duncan Davitt,RP,RP
Dustin Harris,25705,26,hitter,687957,25705_hitter,Dustin Harris,Hitter,NA
Dustin May,19716,28,pitcher,669160,19716_pitcher,Dustin May,SP,SP
Dylan Beavers,31695,24,hitter,687637,31695_hitter,Dylan Beavers,Hitter,NA
Dylan Carlson,20126,27,hitter,666185,20126_hitter,Dylan Carlson,Hitter,NA
Dylan Cease,18525,30,pitcher,656302,18525_pitcher,Dylan Cease,SP,SP
Dylan Dodd,29928,28,pitcher,689266,29928_pitcher,Dylan Dodd,RP,RP
Dylan Lee,19996,31,pitcher,669276,19996_pitcher,Dylan Lee,RP,RP
Dylan Moore,18042,33,hitter,664238,18042_hitter,Dylan Moore,Hitter,NA
Easton McGee,22176,28,pitcher,668834,22176_pitcher,Easton McGee,RP,RP
Edgar Quero,28022,23,hitter,700337,28022_hitter,Edgar Quero,Hitter,NA
Edgardo Henriquez,26944,24,pitcher,683618,26944_pitcher,Edgardo Henriquez,RP,RP
Edmundo Sosa,17022,30,hitter,624641,17022_hitter,Edmundo Sosa,Hitter,NA
Edouard Julien,27534,27,hitter,666397,27534_hitter,Edouard Julien,Hitter,NA
Eduard Bazardo,20997,30,pitcher,660825,20997_pitcher,Eduard Bazardo,RP,RP
Eduardo Rodriguez,13164,33,pitcher,593958,13164_pitcher,Eduardo Rodriguez,SP,SP
Edward Cabrera,21690,28,pitcher,665795,21690_pitcher,Edward Cabrera,SP,SP
Edwin Diaz,14710,32,pitcher,621242,14710_pitcher,Edwin Diaz,RP,RP
Eli Morgan,20203,30,pitcher,669212,20203_pitcher,Eli Morgan,RP,RP
Eli White,19346,32,hitter,642201,19346_hitter,Eli White,Hitter,NA
Elly De La Cruz,26668,24,hitter,682829,26668_hitter,Elly De La Cruz,Hitter,NA
