Name,PlayerId,AVG_cur,OBP_cur,SLG_cur,K_pct_cur,BB_pct_cur,Barrel_pct_cur,BABIP_cur,wOBA_cur,xwOBA_cur,xwOBA_wOBA_gap_cur,PA_cur,Age,mlbamid,AVG_l3,OBP_l3,SLG_l3,K_pct_l3,BB_pct_l3,Barrel_pct_l3,BABIP_l3,wOBA_l3,xwOBA_l3,xwOBA_wOBA_gap_l3,PA_l3,AVG_diff,OBP_diff,SLG_diff,K_pct_diff,BB_pct_diff,Barrel_pct_diff,BABIP_diff,wOBA_diff,xwOBA_diff,xwOBA_wOBA_gap_diff,player_type,AVG_lg_adj_diff,OBP_lg_adj_diff,SLG_lg_adj_diff,K_pct_lg_adj_diff,BB_pct_lg_adj_diff,Barrel_pct_lg_adj_diff,BABIP_lg_adj_diff,wOBA_lg_adj_diff,xwOBA_lg_adj_diff,xwOBA_wOBA_gap_lg_adj_diff
Andrew Benintendi,17901,0.239,0.3,0.424,26.754,8.333,7.018,0.295,0.315,0.323,0.008,228,31,643217,0.239,0.303,0.409,17.346,8.265,6.083,0.256,0.308,0.313,0.005,1613,-0,-0.004,0.016,9.408,0.068,0.934,0.039,0.008,0.011,0.003,hitter,0.002,-0.009,0.022,9.784,-0.72,1.161,0.042,0.003,0.006,0.004
Andrew McCutchen,9847,0.192,0.277,0.26,26.506,10.843,3.614,0.255,0.25,0.237,-0.012,83,39,457705,0.238,0.336,0.384,22.816,12.235,5.887,0.29,0.318,0.333,0.015,1539,-0.047,-0.059,-0.124,3.69,-1.392,-2.273,-0.035,-0.068,-0.096,-0.028,hitter,-0.044,-0.064,-0.118,4.066,-2.181,-2.046,-0.032,-0.073,-0.1,-0.027
Andrew Vaughn,26197,0.347,0.423,0.52,10.811,9.91,2.703,0.381,0.414,0.352,-0.062,111,28,683734,0.251,0.304,0.41,19.652,6.48,7.648,0.284,0.31,0.333,0.024,1681,0.096,0.119,0.111,-8.841,3.43,-4.945,0.097,0.105,0.018,-0.086,hitter,0.098,0.115,0.116,-8.465,2.642,-4.719,0.1,0.1,0.014,-0.086
Andruw Monasterio,19455,0.24,0.288,0.394,24.324,6.306,4.505,0.307,0.3,0.284,-0.016,111,29,655316,0.249,0.316,0.369,24.435,7.839,4.308,0.322,0.303,0.29,-0.014,592,-0.009,-0.028,0.025,-0.111,-1.533,0.197,-0.015,-0.003,-0.005,-0.002,hitter,-0.007,-0.033,0.031,0.265,-2.321,0.423,-0.012,-0.008,-0.01,-0.002
Andy Ibanez,18819,0.087,0.115,0.087,11.538,3.846,0,0.091,0.096,0.164,0.068,26,33,628451,0.244,0.301,0.369,18.654,6.202,4.087,0.283,0.294,0.296,0.002,820,-0.157,-0.185,-0.282,-7.115,-2.356,-4.087,-0.192,-0.198,-0.133,0.066,hitter,-0.155,-0.19,-0.276,-6.739,-3.144,-3.86,-0.189,-0.203,-0.137,0.066
Andy Pages,24816,0.269,0.314,0.488,19.741,6.149,6.796,0.288,0.345,0.341,-0.004,309,25,681624,0.265,0.31,0.445,22.454,5.215,6.428,0.307,0.325,0.317,-0.008,1067,0.004,0.004,0.042,-2.713,0.934,0.368,-0.019,0.019,0.024,0.004,hitter,0.006,-0.001,0.048,-2.337,0.146,0.595,-0.016,0.015,0.019,0.005
Angel Martinez,26540,0.239,0.276,0.442,21.811,2.881,5.761,0.264,0.312,0.306,-0.006,243,24,682657,0.225,0.274,0.355,22.173,5.466,2.255,0.271,0.275,0.258,-0.017,653,0.013,0.002,0.087,-0.362,-2.586,3.506,-0.007,0.037,0.048,0.011,hitter,0.016,-0.003,0.093,0.014,-3.374,3.733,-0.004,0.032,0.044,0.012
Anthony Seigler,23802,0.333,0.5,0.667,25,25,0,0.5,0.492,0.531,0.039,4,27,678011,0.194,0.292,0.21,21.918,10.959,1.37,0.255,0.239,0.305,0.066,73,0.14,0.208,0.457,3.082,14.041,-1.37,0.245,0.253,0.225,-0.028,hitter,0.142,0.204,0.463,3.458,13.253,-1.143,0.248,0.248,0.221,-0.027
Anthony Volpe,27647,0.237,0.333,0.329,21.839,12.644,2.299,0.304,0.304,0.289,-0.015,87,25,683011,0.223,0.281,0.38,24.522,6.958,5.329,0.272,0.287,0.291,0.004,1886,0.014,0.053,-0.051,-2.683,5.685,-3.03,0.031,0.017,-0.002,-0.019,hitter,0.016,0.048,-0.046,-2.307,4.897,-2.804,0.034,0.012,-0.007,-0.019
Aramis Garcia,16925,0.158,0.158,0.316,31.579,0,5.263,0.167,0.202,0.259,0.057,19,33,605244,0,0,0,58.537,0,0,0,0,0.064,0.064,11,0.158,0.158,0.316,-26.958,0,5.263,0.167,0.202,0.196,-0.007,hitter,0.16,0.153,0.322,-26.582,-0.788,5.49,0.17,0.198,0.191,-0.007
