Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Age,1B,2B,3B,BB,IBB,HBP,SF,SH,SO,H,AB,Barrels,NameASCII,PlayerId,MLBAMID
"Rafael Devers","BOS",153,656,33,90,100,5,0.094512195,0.19207317,0.229310345,0.29245283,0.270689655,0.350609756,0.5,0.3591708377603407,0.38,123.9441988195994,-3.2018337449990213,15.618907663432733,-4.19475531578064,3.3870771383518945,26,90,34,0,62,10,11,3,0,126,157,580,58,"Rafael Devers",17350,646240
"Yordan Alvarez","HOU",114,496,31,77,97,0,0.139112903,0.18548387,0.290243903,0.305841924,0.292682926,0.407258064,0.582926829,0.41548739759111114,0.435,170.27996121295638,-4.517921912949532,37.25027887249983,-11.15430212020874,4.301849155176326,26,64,24,1,69,5,13,4,0,92,120,410,58,"Yordan Alvarez",19556,670541
"Luis Robert Jr.","CHW",145,595,38,90,80,20,0.050420168,0.28907563,0.278388279,0.313609467,0.263736263,0.315254237,0.542124542,0.35812751604960513,0.35,128.4771516630258,-0.13498726394027472,20.167352533467938,8.715891122817993,4.9190278248487385,25,69,36,1,30,5,12,2,0,172,144,546,58,"Luis Robert Jr.",20043,673357
"Juan Soto","SDP",162,708,35,97,109,12,0.186440677,0.182203389,0.24471831,0.29584352,0.274647887,0.410183875,0.519366197,0.39487367174748716,0.408,153.95128280513023,-0.906288590747863,46.41466535181077,-9.992945909500122,6.031809907444725,24,88,32,1,132,11,2,5,1,129,156,568,58,"Juan Soto",20123,665742
"Jake Burger","- - -",141,540,34,71,80,1,0.059259259,0.275925925,0.268292682,0.284345047,0.25,0.309259259,0.518292682,0.34901223580042523,0.359,119.8647088113422,-0.7848019413650036,12.327398598657673,-8.397074103355408,2.2343042971058855,27,60,28,1,32,0,12,4,0,149,123,492,58,"Jake Burger",22275,669394
"Julio Rodríguez","SEA",155,714,32,102,103,37,0.06582633,0.245098039,0.209480123,0.32962138,0.275229357,0.333333333,0.48470948,0.3474612170356815,0.345,127.93797307317917,5.218942700419575,29.120471728084556,4.2913336753845215,5.778377273711752,22,109,37,2,47,6,11,2,0,175,180,654,57,"Julio Rodriguez",23697,677594
"Vladimir Guerrero Jr.","TOR",156,682,26,78,94,5,0.098240469,0.146627565,0.179401993,0.277083333,0.264119601,0.34457478,0.443521594,0.33973505181787284,0.378,117.57823732145904,-4.180921454913914,10.183636851390842,-20.64801549911499,1.2935006787121588,24,103,30,0,67,5,9,4,0,100,159,602,56,"Vladimir Guerrero Jr.",19611,665489
"Jorge Soler","MIA",137,580,36,77,75,1,0.113793103,0.243103448,0.261904761,0.271903323,0.25,0.34137931,0.511904761,0.36067214980721474,0.374,124.69021354098729,-2.8484806353226304,14.892241652553434,-16.64362907409668,1.7913979410019183,31,66,24,0,66,4,6,4,0,141,126,504,55,"Jorge Soler",14221,624585
"Paul Goldschmidt","STL",154,687,25,89,80,11,0.126637554,0.234352256,0.178752108,0.326829268,0.268128161,0.36297376,0.446880269,0.35015650163678563,0.367,121.75264744479477,0.16836463613435626,18.68181286835487,-8.11380910873413,3.382557690393476,35,103,31,0,87,6,3,3,0,161,159,593,52,"Paul Goldschmidt",9218,502671
"Bryce Harper","PHI",126,546,21,84,72,11,0.146520146,0.217948717,0.205689278,0.352024922,0.29321663,0.401098901,0.498905908,0.38421846887436056,0.399,142.51876888864786,-0.32377716340124607,28.436414889778625,-11.518996238708496,3.537753911331026,30,83,29,1,80,8,5,4,0,119,134,457,52,"Bryce Harper",11579,547180
"Christian Walker","ARI",157,661,33,86,103,11,0.093797276,0.192133131,0.238831615,0.272093023,0.257731958,0.333333333,0.496563573,0.3510426535998305,0.339,119.22736315245533,1.165067103691399,16.909957667816307,-0.7749204635620117,3.8495554444161497,32,79,36,2,62,3,8,8,0,127,150,582,52,"Christian Walker",13419,572233
"Kyle Tucker","HOU",157,674,29,97,112,30,0.118694362,0.136498516,0.233449477,0.289416846,0.283972125,0.368815592,0.517421602,0.3719799092837742,0.386,140.12396740453156,4.046281225048006,36.45011112725666,-9.629973649978638,4.984006200291306,26,92,37,5,80,9,3,10,0,92,163,574,52,"Kyle Tucker",18345,663656
"J.D. Martinez","LAD",113,479,33,61,103,1,0.07098121,0.311064718,0.300925926,0.324324324,0.270833333,0.320754716,0.571759259,0.36935039064964326,0.369,134.85175294645947,-0.8545550024136901,19.826781361409804,-11.791481494903564,2.424939476295054,35,55,27,2,34,1,2,9,0,149,117,432,50,"J.D. Martinez",6184,502110
"Eugenio Suárez","SEA",162,694,22,68,96,2,0.100864553,0.308357348,0.158862876,0.313672922,0.232441471,0.32276657,0.391304347,0.31329350486956,0.324,104.25558283150109,-2.440637383144349,1.0981225129471688,10.053139686584473,3.4900783087497467,31,88,29,0,70,0,15,11,0,214,139,598,50,"Eugenio Suarez",12552,553993
"Francisco Lindor","NYM",160,687,31,108,98,31,0.096069868,0.199417758,0.215946844,0.27664399,0.254152823,0.336244541,0.470099667,0.34553246638865237,0.346,120.70967257682375,3.739158207550645,21.364941557843913,10.923254013061523,5.54844095688016,29,87,33,2,66,1,12,7,0,137,153,602,49,"Francisco Lindor",12916,596019
"Max Muncy","LAD",135,579,36,95,105,1,0.146804835,0.264248704,0.263485477,0.220735785,0.211618257,0.333333333,0.475103734,0.34425424171530683,0.364,118.02769185172782,-1.1019061454571784,11.829243799428328,-5.088358283042908,2.6348364557040522,32,48,17,1,85,4,6,6,0,153,102,482,49,"Max Muncy",13301,571970
"Willy Adames","MIL",149,638,24,73,80,5,0.111285266,0.258620689,0.189873418,0.259459459,0.216998191,0.309748427,0.406871609,0.31140037183686503,0.335,93.92127602489927,-1.0179959270171821,-5.8225331215085445,17.345856189727783,3.311723100373265,27,65,29,2,71,1,6,6,0,165,120,553,49,"Willy Adames",15986,642715
"Randy Arozarena","TBR",151,654,23,95,83,22,0.122324159,0.23853211,0.170598911,0.310344827,0.254083484,0.363914373,0.424682395,0.3465814043697865,0.351,125.01129865887994,0.48066699504852295,20.080238141018743,-12.010541439056396,3.045725880646064,28,95,19,3,80,1,18,5,0,156,140,551,49,"Randy Arozarena",19290,668227
"Bryan Reynolds","PIT",145,640,24,85,84,12,0.0828125,0.215625,0.196864111,0.303827751,0.263066202,0.3296875,0.459930313,0.3375911473480512,0.36,109.25251592723016,1.3091416363604367,8.64512390962263,-9.634561777114868,2.070761293879554,28,91,31,5,53,2,7,6,0,138,151,574,49,"Bryan Reynolds",19326,668804
"Fernando Tatis Jr.","SDP",141,635,25,91,78,29,0.083464566,0.222047244,0.191304348,0.298543689,0.257391304,0.321766561,0.448695652,0.3317382063023299,0.364,111.62626590023154,3.0310524427331984,12.177078503061258,7.382508277893066,4.102910059437447,24,89,33,1,53,0,3,3,1,141,148,575,48,"Fernando Tatis Jr.",19709,665487
"Manny Machado","SDP",138,601,30,75,91,3,0.083194675,0.181364392,0.20441989,0.268292682,0.257826887,0.319467554,0.462246777,0.33389812022447585,0.332,113.07423801263108,-2.4220446664839983,7.312358219494847,6.366581439971924,3.4012558861877933,30,89,21,0,50,1,2,6,0,109,140,543,46,"Manny Machado",11493,592518
"Nick Castellanos","PHI",157,671,29,79,106,11,0.053651266,0.275707898,0.204472843,0.337320574,0.271565495,0.311475409,0.476038338,0.33461243660368256,0.32,109.26366987832698,-2.799493137281388,4.901097698159868,-14.306854724884033,1.3365885236600525,31,102,37,2,36,0,3,6,0,185,170,626,46,"Nick Castellanos",11737,592206
"Brent Rooker","OAK",137,526,30,61,69,4,0.093155893,0.326996197,0.241900648,0.316981132,0.246220302,0.328897338,0.48812095,0.34824794133504233,0.343,126.08690114436891,-0.7617389759980142,15.679737479583014,-12.587778091430664,2.11074582302754,28,63,20,1,49,1,10,4,0,172,114,463,46,"Brent Rooker",19627,667670
"Gunnar Henderson","BAL",150,622,28,100,82,10,0.090032154,0.255627009,0.233928572,0.305851063,0.255357142,0.324758842,0.489285714,0.34575130091005285,0.346,123.01767473230231,5.798750182148069,22.9535009040763,3.2791666090488434,4.747238823585145,22,77,29,9,56,1,3,3,0,159,143,560,46,"Gunnar Henderson",26289,683002
"Anthony Santander","BAL",153,656,28,81,95,5,0.083841463,0.231707317,0.214890017,0.29879518,0.257191201,0.324695121,0.472081218,0.34042835690592993,0.319,119.32822556674675,-0.6637222366407514,14.528748307740818,-10.641723573207855,2.6354936018682045,28,82,41,1,55,1,6,4,0,152,152,591,45,"Anthony Santander",14551,623993
"Dansby Swanson","CHC",147,638,22,81,80,9,0.103448275,0.24137931,0.171681416,0.296675191,0.244247787,0.327586206,0.415929203,0.32462943338301486,0.345,105.72327379894897,2.327432246413082,6.851026664245252,20.69055461883545,4.90902379307738,29,88,25,3,66,0,5,2,0,154,138,565,45,"Dansby Swanson",18314,621020
"Cal Raleigh","SEA",145,569,30,78,75,0,0.094903339,0.27768014,0.22417154,0.273006134,0.23196881,0.305799648,0.45614035,0.32618309536450346,0.33,113.1896405369903,-2.233259337488562,6.759185955097603,17.22885274887085,4.341797046360474,26,65,23,1,54,1,1,1,0,158,119,513,45,"Cal Raleigh",21534,663728
"Lane Thomas","WSN",157,682,28,101,86,20,0.052785923,0.258064516,0.200636943,0.324825986,0.267515923,0.315249266,0.468152866,0.3339757422023505,0.319,109.79530938252354,1.6637628693133593,9.93977255338041,-1.2982025146484375,3.1735098950871934,27,101,36,3,36,0,11,7,0,176,168,628,44,"Lane Thomas",16939,657041
"Bo Bichette","TOR",135,601,20,69,73,5,0.044925124,0.191347753,0.168126095,0.354691075,0.306479859,0.339434276,0.474605954,0.34943794460344235,0.363,124.30352499374465,-1.4179731574840844,16.08356901061451,2.634800910949707,3.925971971948336,25,122,30,3,27,0,2,1,0,115,175,571,44,"Bo Bichette",19612,666182
"Jack Suwinski","PIT",144,534,26,63,74,13,0.140449438,0.322097378,0.230425056,0.290196078,0.223713646,0.33895131,0.454138702,0.3412209205833593,0.346,111.68585846239868,2.070364427752793,9.801091423725596,-1.6731417179107666,2.6206132964131084,24,51,21,2,75,2,6,6,0,172,100,447,44,"Jack Suwinski",22244,669261
"Brandon Nimmo","NYM",152,682,24,89,68,3,0.108504398,0.214076246,0.192567568,0.323943661,0.273648648,0.362701908,0.466216216,0.35877524379766634,0.352,129.58742098261013,-3.3930281181819737,21.605241259151956,-2.9230746030807495,4.174733106557147,30,102,30,6,74,0,11,4,1,146,162,592,43,"Brandon Nimmo",12927,607043
"Sean Murphy","ATL",108,438,21,65,68,0,0.111872146,0.223744292,0.227027027,0.285714285,0.251351351,0.365296803,0.478378378,0.3661682854776513,0.395,129.81157993143088,-1.569209978915751,14.607029265108583,19.947684288024902,4.930410333537141,28,51,21,0,49,0,18,1,0,98,93,370,43,"Sean Murphy",19352,669221
"Nolan Gorman","STL",119,464,27,59,76,7,0.114224137,0.318965517,0.241379311,0.296137339,0.236453201,0.327586206,0.477832512,0.34451707431616074,0.354,117.97206461394936,0.1482214774005115,10.47903232199851,-3.898245692253113,2.2290531382516154,23,52,17,0,53,1,3,2,0,148,96,406,43,"Nolan Gorman",22263,669357
"Josh Bell","- - -",150,617,22,52,74,0,0.102106969,0.217179902,0.171846435,0.28680203,0.246800731,0.325203252,0.418647166,0.3227294126303705,0.342,103.20502822785767,-4.637474266812205,-2.112704550564534,-15.111606910824776,0.38841116594131964,30,85,28,0,63,2,2,3,0,134,135,547,42,"Josh Bell",13145,605137
"MJ Melendez","KCR",148,602,16,65,56,6,0.102990033,0.282392026,0.163227017,0.31054131,0.234521575,0.315614617,0.397748592,0.3101689737041791,0.325,91.29976128286789,0.5001431265845895,-5.775528895582185,-12.407381013035774,0.24969519367250492,24,75,29,5,62,2,3,4,0,170,125,533,42,"MJ Melendez",22197,669004
"Max Kepler","MIN",130,491,24,72,66,1,0.091649694,0.215885947,0.223744292,0.288461538,0.260273972,0.33197556,0.484018264,0.34840296060150366,0.362,122.91767208848633,-3.0004757312126458,10.482463327339115,0.7833623886108398,2.805890240335771,30,66,22,2,45,0,4,4,0,106,114,438,41,"Max Kepler",12144,596146
"Ryan McMahon","COL",152,627,23,80,70,5,0.10845295,0.315789473,0.190990991,0.326409495,0.239639639,0.322169059,0.43063063,0.324937269115448,0.335,90.19436814702976,-3.0729893506504595,-10.689596965276582,7.5260584354400635,1.8098989503098581,28,76,31,3,68,2,1,3,0,198,133,555,41,"Ryan McMahon",15112,641857
"Trea Turner","PHI",155,691,26,102,76,30,0.06512301,0.2170767,0.192488263,0.310344827,0.266040688,0.319826338,0.458528951,0.3331583995258514,0.33,108.28890643173433,9.387790883425623,16.483466323926386,2.497361660003662,4.235022415086815,30,104,35,5,45,2,6,1,0,150,170,639,41,"Trea Turner",16252,607208
"Ozzie Albies","ATL",148,660,33,96,109,13,0.069696969,0.162121212,0.233221476,0.288793103,0.280201342,0.335866261,0.513422818,0.35837077603834433,0.34,124.58425300023946,3.2897283262573183,23.390809162594245,-4.876727104187012,4.083398126544319,26,99,30,5,46,2,8,8,0,107,167,596,41,"Ozzie Albies",16556,645277
"Yandy Díaz","TBR",137,600,22,95,78,0,0.108333333,0.156666666,0.192380952,0.367396593,0.329523809,0.41,0.521904761,0.40172955542802813,0.383,163.2356909775227,-4.4052979606203735,41.0564465688512,-11.642484307289124,4.989083060210287,31,116,35,0,65,0,8,2,0,94,173,525,41,"Yandy Diaz",16578,650490
"Shea Langeliers","OAK",135,490,22,52,63,3,0.069387755,0.291836734,0.207589286,0.245614035,0.205357142,0.26789366,0.412946428,0.2902981190955614,0.297,85.9206091187636,0.11524217016994953,-8.15108375338747,-1.7340789437294006,0.693339854372465,25,47,19,4,34,2,5,2,1,143,92,448,41,"Shea Langeliers",25816,669127
"Michael Harris II","ATL",138,539,18,76,57,20,0.046382189,0.187384044,0.184158416,0.334190231,0.293069306,0.330855018,0.477227722,0.3447199068699913,0.357,115.43292633711408,4.989161528181285,15.294339733234276,4.638501882553101,3.8147162641745833,22,94,33,3,25,1,5,3,1,101,148,505,41,"Michael Harris II",25931,671739
"Seiya Suzuki","CHC",138,583,20,75,74,6,0.101200686,0.222984562,0.2,0.341397849,0.285436893,0.3567753,0.485436893,0.3584527356871243,0.357,128.39788040408234,-1.9107451122254133,18.599598607667765,-6.333946004509926,3.1993113375269107,28,90,31,6,59,3,2,7,0,130,147,515,41,"Seiya Suzuki",30116,673548
"J.T. Realmuto","PHI",135,540,20,70,63,16,0.064814814,0.255555555,0.200408998,0.306547619,0.251533742,0.310408921,0.45194274,0.32398518479873084,0.334,102.13932844636409,-0.42080996045842767,1.0103549634640094,1.8414459228515625,2.1148272815820928,32,70,28,5,35,3,9,5,0,138,123,489,40,"J.T. Realmuto",11739,592663
"Gleyber Torres","NYY",158,672,25,90,68,13,0.09970238,0.145833333,0.179530202,0.288100208,0.273489932,0.34672619,0.453020134,0.34551027771972476,0.362,120.23409052487575,-1.2765732826665044,15.015844572017564,-2.32684063911438,3.568031544602768,26,108,28,2,67,0,3,6,0,98,163,596,40,"Gleyber Torres",16997,650402
"Christopher Morel","CHC",107,429,26,62,70,6,0.083916083,0.31002331,0.260309278,0.303030303,0.24742268,0.313084112,0.507731958,0.3471691190639389,0.34,120.833522385061,2.4763543866574764,13.548669921987475,-11.984963417053223,1.610121981118058,24,50,17,3,36,0,2,2,1,133,96,388,40,"Christopher Morel",21897,666624
"Triston Casas","BOS",132,502,24,66,65,0,0.139442231,0.250996015,0.226107226,0.316725978,0.263403263,0.366533864,0.489510489,0.3672996851205826,0.37,129.57848110529378,-2.969210545066744,14.822273031627152,-15.247699737548828,1.677761019794163,23,66,21,2,70,2,1,2,0,126,113,429,40,"Triston Casas",22514,671213
"Giancarlo Stanton","NYY",101,415,24,43,60,0,0.09879518,0.29879518,0.229110512,0.209821428,0.191374663,0.274698795,0.420485175,0.29652856594150506,0.325,86.28379243651311,-2.779553814791143,-9.600030419272539,-10.872674226760864,-0.6194229072998935,33,34,13,0,41,3,2,1,0,124,71,371,39,"Giancarlo Stanton",4949,519317
"Willson Contreras","STL",125,495,20,55,67,6,0.103030303,0.224242424,0.203271028,0.311036789,0.264018691,0.358299595,0.467289719,0.3579757334249705,0.373,126.99453669491403,-1.5417668549343944,15.01210294045794,-4.22433066368103,2.753644788033328,31,66,27,0,51,0,13,2,1,111,113,428,39,"Willson Contreras",11609,575929
"Brandon Drury","LAA",125,523,26,61,83,0,0.047801147,0.26003824,0.235051546,0.307926829,0.26185567,0.305927342,0.496907216,0.33908995307882245,0.318,114.02782059105144,-2.8404673258773983,5.950253134891488,3.0986363887786865,2.6944760335373314,30,68,30,3,25,0,8,5,0,136,127,485,39,"Brandon Drury",11615,592273
"Ian Happ","CHC",158,691,21,86,84,14,0.143270622,0.221418234,0.18275862,0.298543689,0.248275862,0.360347322,0.431034482,0.3452609887316888,0.35,119.5543420068093,1.152089602779597,17.89148284790727,-7.1627306044101715,3.412146037416038,28,84,35,4,99,2,6,6,0,153,144,580,39,"Ian Happ",17919,664023
"Ryan Mountcastle","BAL",115,470,18,64,68,3,0.078723404,0.227659574,0.182033097,0.314754098,0.269503546,0.327659574,0.451536643,0.3332618521983181,0.356,114.36096406766487,0.6933654607273638,8.780860583810853,-8.265843033790588,1.6618866396067873,26,74,21,1,37,1,3,7,0,107,114,423,39,"Ryan Mountcastle",18373,663624
"Bryan De La Cruz","MIA",153,626,19,60,78,4,0.063897763,0.22683706,0.153713299,0.307328605,0.257340241,0.304,0.41105354,0.30868623609542845,0.331,89.83967967457812,-3.7230434571392834,-11.602571242557001,-12.861887454986572,-0.3175653227422631,26,98,32,0,40,0,1,5,0,142,149,579,39,"Bryan De La Cruz",19600,650559
"William Contreras","MIL",141,611,17,86,78,6,0.103109656,0.206219312,0.168518519,0.348370927,0.288888888,0.367213114,0.457407407,0.3572947347634717,0.335,124.68813064475664,-1.578397267498076,17.108959418229894,19.810135185718536,5.7526033536487535,25,100,38,1,63,2,5,2,1,126,156,540,39,"William Contreras",20503,661388
"Josh Jung","TEX",122,515,23,75,70,1,0.058252427,0.293203883,0.20083682,0.339869281,0.265690376,0.314563106,0.466527196,0.3341787888008414,0.337,112.40356620090084,-3.446964347269386,4.206998966246389,5.34555447101593,2.7172868577600804,25,78,25,1,30,0,5,2,0,151,127,478,39,"Josh Jung",26299,673962
"Christian Yelich","MIL",144,632,19,106,76,28,0.123417721,0.221518987,0.169090909,0.341836734,0.278181818,0.370253164,0.447272727,0.3534285181045532,0.362,122.09628018015732,7.251077112276107,24.55141974008445,-8.03429251909256,3.7893544103859176,31,99,34,1,78,7,3,1,0,140,153,550,38,"Christian Yelich",11477,592885
"George Springer","TOR",154,683,21,87,72,20,0.08784773,0.183016105,0.146818923,0.291489361,0.257748776,0.327459618,0.404567699,0.3197040668305229,0.332,103.69432255745023,-0.3969236076809466,2.6264240758496626,-7.993846066296101,1.8051831238387652,33,111,25,1,60,1,5,3,0,125,158,613,38,"George Springer",12856,543807
"José Ramírez","CLE",156,691,24,87,80,28,0.105643994,0.105643994,0.193126023,0.284615384,0.281505728,0.356005788,0.474631751,0.3458393339975354,0.359,121.70511462149315,2.467500851955265,20.438520097844698,2.1261441707611084,4.617914269228277,30,107,36,5,73,22,1,6,0,73,172,611,38,"Jose Ramirez",13510,608070
"Trent Grisham","SDP",153,555,13,67,50,15,0.135135135,0.277477477,0.153518123,0.264026402,0.198294243,0.314545454,0.351812366,0.29884223851290614,0.322,89.57332967851623,1.4621265083551407,-5.706848772475057,3.4223029613494873,1.6534895321370855,26,48,31,1,75,0,5,1,4,154,93,469,38,"Trent Grisham",18564,663757
"Lourdes Gurriel Jr.","ARI",145,592,24,65,82,5,0.055743243,0.173986486,0.201451906,0.28169014,0.261343012,0.309121621,0.462794918,0.3293454382827036,0.324,104.68189336599534,0.11806864151731133,3.551763377386629,-4.15767765045166,1.9462983911376641,29,83,35,2,33,1,6,2,0,103,144,551,38,"Lourdes Gurriel Jr.",19238,666971
"Josh Lowe","TBR",135,501,20,71,83,32,0.061876247,0.24750499,0.208154507,0.356923076,0.291845493,0.335329341,0.5,0.3540209194940173,0.341,130.16778966197364,4.767841213848442,22.877647111981894,-4.976702451705933,3.501794329494179,25,81,33,2,31,2,1,3,0,124,136,466,38,"Josh Lowe",19953,666139
"Nolan Jones","COL",106,424,20,60,62,20,0.125,0.297169811,0.245231608,0.4009009,0.297002724,0.389150943,0.542234332,0.3949954907571335,0.362,137.16029125228062,2.0436522532254457,21.5629156110524,1.6507048606872559,3.752048679283733,25,63,22,4,53,3,3,1,0,126,109,367,38,"Nolan Jones",20529,666134
"Marcus Semien","TEX",162,753,29,122,100,14,0.095617529,0.146082337,0.201492538,0.291044776,0.276119402,0.348404255,0.47761194,0.35423160789809754,0.333,126.30261466507851,1.2833505626767874,25.014920914717234,11.95100212097168,6.266424759788069,32,112,40,4,72,1,5,5,0,110,185,670,37,"Marcus Semien",12533,543760
"Ketel Marte","ARI",150,650,25,94,82,8,0.109230769,0.167692307,0.20913884,0.3,0.275922671,0.358461538,0.485061511,0.3608230847267457,0.342,125.78400940294456,-0.014604837168008089,20.748020416403058,0.2562674283981323,4.297817952110472,29,97,26,9,71,2,5,5,0,109,157,569,37,"Ketel Marte",13613,606466
"Carlos Correa","MIN",135,580,18,60,65,0,0.101724137,0.225862068,0.1692607,0.27173913,0.229571984,0.312068965,0.398832684,0.30857912423912326,0.327,95.31489818693828,-2.9102389528416097,-6.166203031774429,4.44255268573761,1.8155849108266193,28,69,29,2,59,3,4,3,0,131,118,514,37,"Carlos Correa",14162,621043
"Andrew Vaughn","CHW",152,615,21,67,80,0,0.058536585,0.209756097,0.171378091,0.299043062,0.25795053,0.313821138,0.429328621,0.32138382700400625,0.319,103.00929538204373,-4.491811828687787,-2.2742664654396956,-14.602611064910889,0.4244760646017536,25,93,30,2,36,0,11,2,0,129,146,566,37,"Andrew Vaughn",26197,683734
"Adley Rutschman","BAL",154,687,20,84,80,1,0.133915574,0.147016011,0.158163265,0.302966101,0.277210884,0.374090247,0.435374149,0.35164259393834857,0.373,127.10105906444134,-1.9062223681248724,20.402545169478643,10.158152673393488,5.401552120229234,25,111,31,1,92,6,2,5,0,101,163,588,37,"Adley Rutschman",26288,668939
