Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Age,1B,2B,3B,BB,IBB,HBP,SF,SH,SO,H,AB,Barrels,NameASCII,PlayerId,MLBAMID
"Michael Busch","CHC",155,592,34,78,90,4,0.094594594,0.234797297,0.261450382,0.291784702,0.261450381,0.342905405,0.522900763,0.36859447440858617,0.37781399012826294,139.87647460022396,-3.3558670561760664,24.62316389621624,-10.208109587430954,3.490091277847657,27,73,25,5,56,2,10,2,0,139,137,524,66,"Michael Busch",26319,683737
"Matt Olson","ATL",162,724,29,98,95,1,0.125690607,0.243093922,0.211538461,0.332547169,0.272435897,0.366022099,0.483974358,0.3663292339799147,0.3601102577664485,136.0615266903134,-4.792228044942021,26.151802486793752,-4.2444353103637695,4.705995115774757,31,98,41,2,91,2,4,5,0,176,170,624,65,"Matt Olson",14344,621566
"Brent Rooker","ATH",162,699,30,92,89,6,0.092989985,0.22174535,0.217252396,0.302483069,0.26198083,0.335243553,0.479233226,0.34876540475001594,0.3514974574850063,121.97580261381478,-0.1861459817737341,17.918685892430002,-18.4119553565979,2.411502942817605,30,91,40,3,65,4,5,2,0,155,164,626,65,"Brent Rooker",19627,667670
"Jo Adell","LAA",152,573,37,63,98,5,0.057591623,0.263525305,0.24904943,0.256637168,0.235741444,0.292982456,0.484790874,0.3325408399105072,0.36543284652522245,112.44059254643317,0.4706734996289015,8.872394645465338,-16.604681491851807,1.2270721810813732,26,68,18,1,33,0,10,1,0,151,124,526,65,"Jo Adell",20220,666176
"Manny Machado","SDP",159,678,27,91,95,14,0.081120943,0.193215339,0.185365854,0.307359307,0.274796747,0.334808259,0.460162601,0.3411543614255922,0.35432209621389765,123.02550141793589,-0.7464621160179377,17.756147938016756,-3.5205858945846558,3.764483004138879,32,109,33,0,55,4,3,5,0,131,169,615,63,"Manny Machado",11493,592518
"George Springer","TOR",140,586,32,106,84,18,0.11774744,0.189419795,0.251004016,0.339832869,0.309236947,0.39896373,0.560240963,0.4078920781612396,0.40411586595618204,166.12905855908951,2.7769313007593155,48.45024595248956,-17.779345512390137,5.201986570796484,35,94,27,1,69,3,8,4,0,111,154,498,63,"George Springer",12856,543807
"Bobby Witt Jr.","KCR",157,687,23,99,88,38,0.071324599,0.181950509,0.205457464,0.334024896,0.295345104,0.350800582,0.500802568,0.36028863131912187,0.36518207527476654,129.71644196602443,7.415383169427514,31.47707281305231,23.187485694885254,8.012573444524138,25,108,47,6,49,8,8,7,0,125,184,623,63,"Bobby Witt Jr.",25764,677951
"James Wood","WSN",157,689,31,87,94,15,0.123367198,0.320754716,0.219063545,0.3495702,0.255852842,0.349782293,0.474916387,0.35281340211148476,0.3606025223183421,127.29375842430733,-0.8461500331759453,21.44214105139311,-12.614006280899048,3.248681060103717,22,84,38,0,85,8,3,3,0,221,153,598,62,"James Wood",29518,695578
"Byron Buxton","MIN",126,542,35,97,83,24,0.075645756,0.27306273,0.286885246,0.302250803,0.264344262,0.326568265,0.551229508,0.3666271403071157,0.3501997990394706,136.3415758121969,8.52427045442164,31.739640805110692,-1.372950792312622,5.015888209172539,31,66,21,7,41,5,7,6,0,148,129,488,61,"Byron Buxton",14161,621439
"Vladimir Guerrero Jr.","TOR",156,680,23,96,84,6,0.119117647,0.138235294,0.174872666,0.31302521,0.292020373,0.380882352,0.466893039,0.3656467213517144,0.3843275221295777,137.02781322530683,-2.5992747209966183,27.077011559433632,-12.504643827676773,3.8859856549578726,26,115,34,0,81,8,6,4,0,94,172,589,61,"Vladimir Guerrero Jr.",19611,665489
"Corbin Carroll","ARI",143,642,31,107,84,32,0.10436137,0.238317757,0.281914893,0.299479166,0.258865248,0.342679127,0.540780141,0.37149713461675615,0.3719789517000786,139.08839604480144,10.28069420158863,40.023167733725195,2.535522937774658,6.539744484891251,24,66,32,17,67,4,7,4,0,153,146,564,60,"Corbin Carroll",25878,682998
"Pete Crow-Armstrong","CHC",157,647,31,91,95,35,0.044822256,0.239567233,0.233502538,0.275779376,0.247038917,0.287051482,0.480541455,0.3234034123830497,0.320855923687083,108.9191437637993,6.714693246409297,13.554150674167392,17.40241527557373,5.36972262700439,23,74,37,4,29,1,9,12,6,155,146,591,59,"Pete Crow-Armstrong",27769,691718
"Eugenio Suárez","- - -",159,657,49,91,118,4,0.07001522,0.298325722,0.297619048,0.242857142,0.227891156,0.298325722,0.525510204,0.3468173504785727,0.3196506704082926,124.69361712346375,-3.435335313901305,15.805712954194973,-0.7159488201141357,3.8063499913140504,33,57,28,0,46,2,16,7,0,196,134,588,57,"Eugenio Suarez",12552,553993
"Ben Rice","NYY",138,530,26,74,65,3,0.094339622,0.188679245,0.244111349,0.271137026,0.254817987,0.337121212,0.498929336,0.3584577606031389,0.3942605005948322,132.60016845324574,-2.02083095908165,18.343412882459464,-6.834956966340542,3.044189264534764,26,61,28,4,50,0,9,2,0,100,119,467,57,"Ben Rice",29576,700250
"Taylor Ward","LAA",157,663,36,86,103,4,0.113122171,0.263951734,0.246977548,0.256684491,0.227979274,0.316742081,0.474956822,0.33875144356327114,0.33286587349237634,116.71884497982768,-1.1036400869488716,11.96084730820175,-6.234712839126587,2.9210290316455954,31,63,31,2,75,1,3,6,0,175,132,579,56,"Taylor Ward",17548,621493
"Vinnie Pasquantino","KCR",160,682,32,72,113,1,0.071847507,0.156891495,0.21095008,0.271047227,0.264090177,0.322580645,0.475040257,0.3398104663965797,0.3335446732132523,115.60980051703578,-4.618042996153235,7.929373167974106,-16.926660776138306,1.4815592089028955,27,98,33,1,49,5,7,5,0,107,164,621,56,"Vinnie Pasquantino",27676,686469
"Ketel Marte","ARI",126,556,28,87,72,4,0.115107913,0.149280575,0.233333333,0.29032258,0.283333333,0.37589928,0.516666666,0.38054607012055136,0.38983042918852645,145.2872078795435,-3.3880441579967737,26.455097680203085,-0.01122671365737915,4.598240723873378,31,80,28,0,64,6,9,3,0,83,136,480,54,"Ketel Marte",13613,606466
"Oneil Cruz","PIT",135,544,20,62,61,38,0.117647058,0.319852941,0.178343949,0.262411347,0.199575371,0.297794117,0.37791932,0.29478162118682155,0.32390347732487224,85.63652013289894,5.753797585144639,-3.5070934754793246,0.8621397614479065,1.5812402392403322,26,53,18,3,64,4,4,5,0,174,94,471,54,"Oneil Cruz",21711,665833
"Spencer Torkelson","DET",155,649,31,82,78,2,0.110939907,0.260400616,0.21669627,0.282608695,0.239786856,0.332819722,0.456483126,0.3386429640034309,0.3338547108888997,117.5714949331538,-0.49128648824989796,12.949540265656475,-12.377392321825027,2.344401854675726,25,76,27,1,72,6,9,5,0,169,135,563,54,"Spencer Torkelson",27465,679529
"Christian Walker","HOU",154,640,27,72,88,2,0.0625,0.2765625,0.182905983,0.29090909,0.237606837,0.296875,0.42051282,0.31036424403645807,0.31418450822666033,98.91744435595207,-1.9191012065857649,-2.735688800267575,-8.442976713180542,1.1104473867921754,34,87,24,1,40,1,11,4,0,177,139,585,53,"Christian Walker",13419,572233
"Willy Adames","SFG",160,686,30,94,87,12,0.116618075,0.260932944,0.196277495,0.263427109,0.225042301,0.318248175,0.421319796,0.3207774200690787,0.32673662971047795,107.7213517013979,0.8615509606897831,7.139411390071006,9.668602228164673,4.054910113170574,29,79,22,2,80,2,5,9,0,179,133,591,53,"Willy Adames",15986,642715
"Kyle Stowers","MIA",117,457,25,61,73,5,0.105032822,0.273522975,0.255639098,0.355731225,0.288220551,0.368421052,0.543859649,0.38619400544408666,0.37542991300599765,148.79942673479505,0.9539877399802208,27.385689543476563,-3.655320405960083,3.9836056777729145,27,66,21,3,48,3,5,4,1,125,115,399,53,"Kyle Stowers",26151,669065
"Trent Grisham","NYY",143,581,34,87,74,3,0.141135972,0.235800344,0.22874494,0.253086419,0.234817813,0.347676419,0.463562753,0.3532670625515936,0.3699475024119917,129.02449082001655,-3.003441620618105,16.871841180130527,-6.0103960037231445,3.1576207235705134,28,72,9,1,82,0,4,1,0,137,116,494,51,"Trent Grisham",18564,663757
"Fernando Tatis Jr.","SDP",155,691,25,111,71,32,0.128798842,0.186685962,0.178451179,0.30316742,0.267676767,0.367583212,0.446127946,0.3532081374473739,0.3701129750883352,131.28272564346076,5.8085346687585115,31.428399787507704,5.106256008148193,6.090213182530829,26,105,27,2,89,7,6,2,0,129,159,594,51,"Fernando Tatis Jr.",19709,665487
"Dansby Swanson","CHC",159,645,24,84,77,20,0.072868217,0.260465116,0.172881356,0.297766749,0.244067796,0.29968944,0.416949152,0.3095082416319365,0.345243317315883,99.40050492924945,4.741277763620019,4.282988654244073,6.976205080747604,3.347626660831459,31,93,24,3,47,1,2,5,1,168,144,590,50,"Dansby Swanson",18314,621020
"Hunter Goodman","COL",144,579,31,73,91,1,0.056994818,0.262521588,0.242592593,0.331476323,0.277777777,0.322970639,0.52037037,0.3587744185549813,0.32409323586357963,117.70424184789086,-2.412052819505334,9.737214925201148,4.168052576482296,3.3936798889056843,25,86,28,5,33,0,4,2,0,152,150,540,50,"Hunter Goodman",29715,696100
"Zach Neto","LAA",128,554,26,82,62,26,0.059566787,0.268953068,0.217131474,0.312121212,0.256972111,0.318840579,0.474103585,0.337106439220163,0.3441548050541581,115.58566304980467,2.9983074702322483,13.17502271041115,-1.5877346992492676,3.1367859532131765,24,73,29,1,33,6,14,3,2,149,129,502,50,"Zach Neto",31347,687263
"Nick Kurtz","ATH",117,489,36,90,86,2,0.128834355,0.308793456,0.328571429,0.364406779,0.29047619,0.383196721,0.619047619,0.41892504495443755,0.37232573958467846,170.30615312604996,-0.3312121778726578,40.18928539863164,-12.13697862625122,4.5924248197974995,22,58,26,2,63,3,2,3,0,151,122,420,50,"Nick Kurtz",35110,701762
"Willson Contreras","STL",135,563,20,70,80,5,0.078152753,0.252220248,0.189795918,0.319277108,0.257142857,0.34402852,0.446938775,0.34426162796361104,0.35825864730342744,123.56341575893369,-2.4631467387080193,13.26004993187871,-4.7403411865234375,2.788203590516342,33,74,31,1,44,1,23,4,1,142,126,490,49,"Willson Contreras",11609,575929
"Randy Arozarena","SEA",160,709,27,95,76,31,0.090267983,0.269393511,0.187601957,0.2975,0.23817292,0.334273624,0.425774877,0.33227248500395024,0.32696191717477424,119.9653375656667,-1.258043708279729,15.425775210820184,-11.602136135101318,2.888398036218452,30,86,32,1,64,2,27,5,0,191,146,613,49,"Randy Arozarena",19290,668227
"Julio Rodríguez","SEA",160,710,32,106,95,30,0.06197183,0.214084507,0.207055215,0.302127659,0.266871165,0.323943661,0.47392638,0.3409884508619917,0.347904129245682,125.96944026266532,3.868830379098654,25.60052095007495,5.930950403213501,5.726778168827622,24,107,31,4,44,5,12,2,0,152,174,652,49,"Julio Rodriguez",23697,677594
"Jazz Chisholm Jr.","NYY",130,531,31,75,80,31,0.109227871,0.278719397,0.238095238,0.282229965,0.242424242,0.332075471,0.48051948,0.3490127379141593,0.3450513608527906,126.09384578932723,2.938535436987877,19.269249975121053,5.315905928611755,4.385621458089419,27,65,15,1,58,1,6,4,1,148,112,462,48,"Jazz Chisholm Jr.",20454,665862
"Tyler Soderstrom","ATH",158,624,25,75,93,8,0.088141025,0.225961538,0.197860962,0.327455919,0.276292335,0.346153846,0.474153297,0.3535302139555143,0.34126441709456906,125.25810135928567,-0.6798486672341824,17.896393593631014,-6.285069108009338,3.385794456824587,23,95,34,1,55,2,6,2,0,141,155,561,48,"Tyler Soderstrom",27467,691016
"Wyatt Langford","TEX",134,573,22,73,62,22,0.129144851,0.263525305,0.190184049,0.29906542,0.241308793,0.343804537,0.431492842,0.3371595635748746,0.34610491300884044,118.20581472623358,1.5631374455988407,13.858386083609425,6.1140923500061035,4.0616163890070345,23,70,25,1,74,3,5,5,0,151,118,489,48,"Wyatt Langford",33333,694671
"Bryce Harper","PHI",132,580,27,72,75,12,0.120689655,0.208620689,0.225548903,0.292134831,0.261477045,0.356896551,0.487025948,0.3609641829849536,0.36761485242677483,131.2467242056975,1.354000624269247,22.833625551323607,-8.226312756538391,3.468912048250509,32,72,32,0,70,6,6,3,0,121,131,501,47,"Bryce Harper",11579,547180
"Brandon Lowe","TBR",134,553,31,79,83,3,0.068716094,0.269439421,0.220907298,0.297297297,0.256410256,0.307414104,0.477317554,0.3343621486986893,0.33514220857880805,113.99114429708715,-1.7411240208894014,7.377954218339051,-9.998411178588867,1.6796337030066923,30,80,19,0,38,1,2,6,0,149,130,507,47,"Brandon Lowe",18882,664040
"Agustín Ramírez","MIA",136,585,21,72,67,16,0.061538461,0.193162393,0.182495345,0.253071253,0.230912476,0.287179487,0.413407821,0.3016430406382317,0.3317723758454577,90.87929667556621,-0.8803622890263796,-7.204166292873097,-12.511626243591309,-0.025750474667067064,23,69,33,1,36,2,8,4,0,113,124,537,47,"Agustin Ramirez",26546,682663
"Francisco Lindor","NYM",160,732,31,117,86,31,0.088797814,0.178961748,0.198757764,0.288343558,0.267080745,0.345628415,0.465838509,0.3501807249572179,0.34546049556181224,128.77125428201668,2.748030634596944,27.709151441800344,9.249313831329346,6.273143931845215,31,106,35,0,65,2,16,7,0,131,172,644,46,"Francisco Lindor",12916,596019
"Josh Bell","WSN",140,533,22,54,63,0,0.106941838,0.165103189,0.179487179,0.246537396,0.237179487,0.324577861,0.416666666,0.3238837330188966,0.3591893225005179,107.47600471492413,-6.093043690547347,-1.370336919758766,-15.735754489898682,0.06423933574189711,32,72,16,1,57,1,5,3,0,88,111,468,46,"Josh Bell",13145,605137
"Elly De La Cruz","CIN",162,699,22,102,86,37,0.095851216,0.258941344,0.176470589,0.337236533,0.263910969,0.336194563,0.440381558,0.3325369146115894,0.3215300714084675,108.50352613594754,9.354724684730172,16.399553303533708,2.788893938064575,4.342712082199284,23,106,31,7,67,10,2,1,0,181,166,629,46,"Elly De La Cruz",26668,682829
"Freddie Freeman","LAD",147,627,24,81,90,6,0.095693779,0.20414673,0.206834533,0.342298288,0.294964028,0.366826156,0.501798561,0.3697290580118856,0.34992756635576533,139.37060177554082,-1.6922895349562168,27.564980464411256,-11.10908168554306,3.818040104389913,35,99,39,2,60,7,6,5,0,128,164,556,45,"Freddie Freeman",5361,518692
"Mike Trout","LAA",130,556,26,73,64,2,0.15647482,0.320143884,0.206140351,0.310077519,0.23245614,0.358558558,0.438596491,0.3431537466311674,0.35846948623657227,119.75142681338025,-0.5290626510977745,12.414261875093198,-14.006343245506287,1.795415793117072,33,65,14,1,87,10,6,6,0,178,106,456,45,"Mike Trout",10155,545361
"Corey Seager","TEX",102,445,21,61,50,3,0.130337078,0.195505617,0.215789474,0.299270072,0.271052631,0.373033707,0.486842105,0.36543997128804523,0.3998089669764727,137.68712924586418,-1.4200966134667397,18.346215237081733,5.596895694732666,4.017028831739731,31,63,19,0,58,10,5,2,0,87,103,380,45,"Corey Seager",13624,608369
"Ramón Laureano","- - -",132,488,24,72,76,7,0.071721311,0.243852459,0.231292517,0.331125827,0.281179138,0.342213114,0.512471655,0.36434990351205,0.3623046088464481,137.80491716799915,-0.6972273401916027,21.082514487435017,-8.70126086473465,2.962195305021663,30,72,26,2,35,1,8,4,0,119,124,441,45,"Ramon Laureano",17128,657656
"Kyle Tucker","CHC",136,597,22,91,73,25,0.145728643,0.147403685,0.198,0.282442748,0.266,0.377104377,0.464,0.3629035417631497,0.3720955271940215,135.97800271715482,3.7747429870069027,29.23164712486842,-5.105709552764893,4.500656865008766,28,82,25,4,87,7,4,3,1,88,133,500,45,"Kyle Tucker",18345,663656
"Mickey Moniak","COL",135,461,24,62,68,9,0.047722342,0.238611713,0.248847926,0.306930693,0.269585253,0.305856832,0.518433179,0.3476819134276846,0.3374065656807428,110.10551909965322,1.172222524881363,6.693680339584903,-15.882862091064453,0.6291401996109899,27,65,20,8,22,1,2,3,0,110,117,434,45,"Mickey Moniak",19956,666160
"Michael Harris II","ATL",160,641,20,55,86,20,0.024960998,0.199687987,0.160392798,0.280851063,0.248772504,0.268445839,0.409165302,0.28865430508769535,0.3145245813796949,82.851702365906,2.076936077326536,-10.950928875836913,2.945184588432312,1.3629658445677881,24,100,26,6,16,1,3,7,4,128,152,611,45,"Michael Harris II",25931,671739
"Teoscar Hernández","LAD",134,546,25,65,89,5,0.047619047,0.245421245,0.207436399,0.282913165,0.246575342,0.284403669,0.454011741,0.3149013547722353,0.3238014333388385,101.8118617921333,-0.769279457628727,0.4032180152171263,-12.24830150604248,0.6467601050275579,32,71,29,1,26,0,3,5,0,134,126,511,44,"Teoscar Hernandez",13066,606192
"Ian Happ","CHC",150,663,23,87,79,6,0.131221719,0.227752639,0.177504394,0.2875,0.242530755,0.342383107,0.420035149,0.3334078720225509,0.35413383715080493,115.77252036124874,-3.3072487227618694,9.086675339711515,-3.721944570541382,2.8058238495525307,30,83,32,0,87,2,2,5,0,151,138,569,44,"Ian Happ",17919,664023
"Austin Riley","ATL",102,447,16,54,54,2,0.060402684,0.286353467,0.168269231,0.336996336,0.259615384,0.308724832,0.427884615,0.318424928883266,0.330424595306807,103.24553709201689,-1.5275220796465874,0.19192298850745226,1.1859002113342285,1.662619091563741,28,71,20,1,27,1,3,1,0,128,108,416,44,"Austin Riley",18360,663586
"Adolis García","TEX",135,547,19,58,75,13,0.051188299,0.246800731,0.16765286,0.266666666,0.226824457,0.270566727,0.394477317,0.2858046869655232,0.30361353323000284,82.82936211315248,1.4507508501410484,-9.61921626201211,-1.920020580291748,0.7459981095697904,32,68,28,0,28,1,5,7,0,135,115,507,44,"Adolis Garcia",19287,666969
"Jarren Duran","BOS",157,696,16,86,84,24,0.086206896,0.242816091,0.185483871,0.326484018,0.256451612,0.3323741,0.441935483,0.3350495208237288,0.32572161962115576,111.15078705378289,7.187159538269043,16.33434188362304,-2.1056504249572754,3.907177390369929,28,89,41,13,60,1,12,3,1,169,159,620,44,"Jarren Duran",24617,680776
"Jackson Merrill","SDP",115,483,16,59,67,1,0.068322981,0.223602484,0.193181818,0.311526479,0.263636363,0.317427385,0.456818181,0.33119709861005914,0.3469079983209622,116.20445616275907,1.892337428405881,11.168659029455796,2.2690621614456177,3.0190466197192025,22,69,25,6,33,1,4,5,1,108,116,440,44,"Jackson Merrill",29490,701538
"Trevor Story","BOS",157,654,25,91,96,31,0.050458715,0.269113149,0.16993464,0.330097087,0.263071895,0.307810107,0.433006535,0.3203090862628141,0.31149744803238505,100.99665332453415,7.77861936762929,8.546854993231324,-1.5224995613098145,3.0221540910839897,32,107,29,0,33,1,7,1,1,176,161,612,43,"Trevor Story",12564,596115
"Yainer Diaz","HOU",143,567,20,56,70,1,0.035273368,0.1675485,0.160516605,0.276744186,0.256457564,0.283950617,0.416974169,0.30015097265749907,0.3259947321131217,91.88190392011954,-1.655064968392253,-7.080190862368434,2.9406859278678894,1.5735259389415834,26,93,25,1,20,2,2,3,0,95,139,542,43,"Yainer Diaz",23003,673237
"Christian Yelich","MIL",150,644,29,88,103,16,0.099378881,0.25931677,0.188481675,0.322751322,0.263525305,0.343167701,0.45200698,0.3431630712878368,0.3301577964794692,121.41749554522096,2.8483689669519663,19.195771563785627,-16.730201721191406,2.4445247462368194,33,101,21,0,64,6,6,1,0,167,151,573,42,"Christian Yelich",11477,592885
"Bryan Reynolds","PIT",154,654,16,68,73,3,0.087155963,0.264525993,0.156729132,0.319201995,0.245315161,0.318042813,0.402044293,0.3146605150257829,0.3375106998747843,99.2542017197389,0.488500889390707,-0.08958628178400518,-11.1036536693573,1.081098965967631,30,87,38,3,57,1,7,3,0,173,144,587,42,"Bryan Reynolds",19326,668804
"Shea Langeliers","ATH",123,523,31,73,72,7,0.068833652,0.196940726,0.25987526,0.289772727,0.276507276,0.325047801,0.536382536,0.36381869686060936,0.32702307434670036,132.34545220078905,0.639406505972147,20.577677332494947,-0.04970860481262207,3.942343375470606,27,70,32,0,36,1,1,5,0,103,133,481,42,"Shea Langeliers",25816,669127
"Anthony Volpe","NYY",153,596,19,65,72,18,0.072147651,0.251677852,0.179962895,0.251989389,0.211502782,0.271500843,0.391465677,0.28633192176561534,0.3006652265937895,82.91537728484958,1.1397595591843128,-10.86142811224215,0.31940412521362305,1.0206099546141942,24,59,32,4,43,0,4,7,3,150,114,539,42,"Anthony Volpe",27647,683011
"Jackson Chourio","MIL",131,589,21,88,78,21,0.050933786,0.205432937,0.193078324,0.307506053,0.269581056,0.307823129,0.46265938,0.32846995980004434,0.30666001691931966,111.35224164419445,3.0585054457187653,10.983356846918504,-1.968176007270813,2.9274042238841638,21,88,35,4,30,1,3,6,1,121,148,549,42,"Jackson Chourio",28806,694192
"Jorge Polanco","SEA",138,524,26,64,78,6,0.080152671,0.156488549,0.229299363,0.269021739,0.265392781,0.326295585,0.494692144,0.3498725429177284,0.3426868732158954,132.0893588053727,0.2065268624573946,20.024758544244598,-12.27981424331665,2.6380021319836717,31,69,30,0,42,1,3,5,3,82,125,471,41,"Jorge Polanco",13152,593871
"Yandy Díaz","TBR",150,651,25,79,83,3,0.087557603,0.141321044,0.181818182,0.318471337,0.300171526,0.365591397,0.481989708,0.3642911937726889,0.3535389410001095,134.60814339668812,-1.0448521841317415,25.50926484823206,-18.5292649269104,3.007049569900599,33,120,29,1,57,4,6,5,0,92,175,583,41,"Yandy Diaz",16578,650490
"Heliot Ramos","SFG",157,695,21,85,69,6,0.074820143,0.227338129,0.143548388,0.308724832,0.256451612,0.328057553,0.4,0.318876088267625,0.32033544354930155,106.41887827038718,-2.590563051402569,2.69678804713557,-15.145339488983154,1.0922346263628953,25,113,24,1,52,2,17,6,0,158,159,620,41,"Heliot Ramos",22515,671218
"Lenyn Sosa","CHW",140,544,22,57,75,2,0.033088235,0.233455882,0.16988417,0.309139784,0.264478764,0.292817679,0.434362934,0.3125737317139712,0.3262495791845974,99.60694748581646,-0.5203875228762627,-0.7724000057777642,-4.763993501663208,1.349597709801714,25,94,20,1,18,0,4,3,1,127,137,518,41,"Lenyn Sosa",22896,672820
"Kerry Carpenter","DET",130,464,26,66,62,1,0.038793103,0.228448275,0.244803695,0.273927392,0.251732101,0.291304347,0.496535796,0.33451348607954773,0.335282844409608,114.72685213121945,0.2632832918316126,8.31707663500372,-9.539329290390015,1.509217713648677,27,60,18,5,18,0,7,2,0,106,109,433,41,"Kerry Carpenter",25961,681481
"Marcell Ozuna","ATL",145,592,21,61,68,0,0.158783783,0.243243243,0.168377823,0.279635258,0.232032854,0.355329949,0.400410677,0.3340776355238236,0.35352776444547224,113.9681445333606,-2.759424611926079,7.041219807232043,-14.799382209777832,1.2214937147579812,34,73,19,0,94,2,3,7,0,144,113,487,40,"Marcell Ozuna",10324,542303
"Brandon Nimmo","NYM",155,652,25,81,92,13,0.076687116,0.216257668,0.173764907,0.301401869,0.262350936,0.324116743,0.436115843,0.3287401940272405,0.3208324960561899,114.08380106543058,1.30063920840621,12.183966342414992,-4.570239782333374,2.998478725816981,32,102,27,0,50,1,7,7,1,141,154,587,40,"Brandon Nimmo",12927,607043
"Lars Nootbaar","STL",135,583,13,68,48,4,0.109777015,0.204116638,0.127701375,0.278947368,0.233791748,0.324742268,0.361493123,0.3041559130416633,0.3173912983895995,96.08971123372274,-1.518680565059185,-4.220594995510621,-7.04315459728241,0.8321910143551768,27,81,24,1,64,3,6,3,1,119,119,509,40,"Lars Nootbaar",21454,663457
"Alejandro Kirk","TOR",130,506,15,45,76,1,0.09486166,0.11660079,0.139689579,0.292428198,0.281596452,0.347826086,0.421286031,0.3344693310440533,0.358883381837879,115.55087581177857,-5.864931767806411,3.4092999978331413,24.844377517700195,4.672903818578818,26,94,18,0,48,2,1,6,0,59,127,451,40,"Alejandro Kirk",22581,672386
