Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Age,1B,2B,3B,BB,IBB,HBP,SF,SH,SO,H,AB,NameASCII,PlayerId,MLBAMID
"Iván Herrera","STL",13,44,0,6,4,0,0.113636363,0.25,0.054054054,0.423076923,0.297297297,0.409090909,0.351351351,0.34913354163820093,0.341,121.06687125026043,-0.040944911539554596,1.1073968934526148,0.32497888803482056,0.29191687100715213,23,9,2,0,5,0,2,0,0,11,11,37,"Ivan Herrera",20599,671056
"Adam Haseley","CHW",28,39,0,6,2,1,0.076923076,0.205128205,0.055555555,0.285714285,0.222222222,0.282051282,0.277777777,0.2530884910852481,0.29,55.67230105679204,0.18777153501287103,-1.8836685346048458,-0.5852375626564026,-0.11263662573856525,27,6,2,0,3,0,0,0,0,8,8,36,"Adam Haseley",19878,656514
"Eguy Rosario","SDP",11,37,2,6,6,0,0.027027027,0.324324324,0.25,0.318181818,0.25,0.27027027,0.5,0.3224163393716554,0.249,105.37703383004526,0.15512167569249868,0.40159104333812107,0.7254297733306885,0.2377497377727751,23,5,1,1,1,0,0,0,0,12,9,36,"Eguy Rosario",19964,666703
"Blake Rutherford","WSN",16,36,0,4,2,0,0.027777777,0.277777777,0,0.24,0.171428571,0.194444444,0.171428571,0.16642001767953238,0.17,-2.5313967395866523,-0.01005718344822526,-4.5828111198175066,0.04528447985649109,-0.33049305482889546,26,6,0,0,1,0,0,0,0,10,6,35,"Blake Rutherford",19957,666164
"Andre Lipcius","DET",13,38,1,3,4,0,0.078947368,0.210526315,0.114285715,0.346153846,0.285714285,0.342105263,0.4,0.326206773519516,0.298,108.04508728922835,-0.028173421043902636,0.33813502759332065,-3.6304626539349556,-0.1981706897820101,25,8,1,0,3,0,0,0,0,8,10,35,"Andre Lipcius",25822,686531
"Junior Caminero","TBR",7,36,1,4,7,0,0.055555555,0.222222222,0.117647059,0.28,0.235294117,0.277777777,0.352941176,0.2759689423773024,0.265,76.06825346167214,-0.08156615123152733,-1.1138745806495771,0.5360301807522774,0.06566174385666565,19,6,1,0,2,0,0,0,0,8,8,34,"Junior Caminero",28163,691406
"Peyton Burdick","MIA",14,37,1,4,2,1,0.081081081,0.486486486,0.151515152,0.357142857,0.181818181,0.27027027,0.333333333,0.26899846824439794,0.257,63.23362817295882,0.2833727947436273,-1.4019028983718052,-1.415954440832138,-0.15562365691771482,26,3,2,0,3,0,1,0,0,18,6,33,"Peyton Burdick",25459,680814
"Joey Ortiz","BAL",15,34,0,4,4,0,0,0.264705882,0.03030303,0.28,0.212121212,0.205882352,0.242424242,0.19232294489355647,0.249,16.673118103644505,0.029892480932176113,-3.364770200698752,1.262549951672554,-0.09319426009061799,24,6,1,0,0,0,0,1,0,9,7,33,"Joey Ortiz",25493,687401
"David Hamilton","BOS",15,39,0,2,0,2,0.153846153,0.256410256,0.06060606,0.173913043,0.121212121,0.256410256,0.181818181,0.2161029393856342,0.227,24.780702478569747,-0.0727324578911066,-3.587741596849837,-0.14347892999649048,-0.23851146716895016,25,2,2,0,6,0,0,0,0,10,4,33,"David Hamilton",27531,666152
"Oneil Cruz","PIT",9,40,1,7,4,3,0.175,0.2,0.125,0.291666666,0.25,0.375,0.375,0.3353599086403847,0.318,107.75672880734456,0.805683818180114,1.1900605209380335,0.23740904033184052,0.2778745498556003,24,6,1,0,7,0,0,1,0,8,8,32,"Oneil Cruz",21711,665833
"Canaan Smith-Njigba","PIT",15,37,0,3,5,1,0.108108108,0.432432432,0.09375,0.235294117,0.125,0.216216216,0.21875,0.19895438568012133,0.239,16.31262485550569,-0.4011249477043748,-4.237138460680886,-1.3320220708847046,-0.42997673801120195,24,2,1,1,4,0,0,1,0,16,4,32,"Canaan Smith-Njigba",23264,675986
"Tyler Fitzgerald","SFG",10,34,2,3,5,2,0.058823529,0.294117647,0.25,0.25,0.21875,0.264705882,0.46875,0.3098568074843463,0.2,95.23827210790374,0.37368853436782956,0.1731203934355154,0.33944378793239594,0.16631284327739032,25,3,2,0,2,0,0,0,0,10,7,32,"Tyler Fitzgerald",26208,666149
"Óscar Mercado","STL",20,32,0,3,5,2,0.03125,0.125,0.096774194,0.333333333,0.29032258,0.3125,0.387096774,0.30382524244487286,0.273,90.69290448263426,-0.07875114539638162,-0.44771396733551894,-0.37129878997802734,0.026754774906047045,28,6,3,0,1,0,0,0,0,4,9,31,"Oscar Mercado",16375,640458
"Travis Blankenhorn","WSN",10,37,1,2,1,0,0.162162162,0.162162162,0.096774194,0.166666666,0.161290322,0.297297297,0.258064516,0.2624232027981732,0.322,61.827619297132294,-0.022272775880992413,-1.7719962908778393,0.11155840754508972,-0.04020868021962153,26,4,0,0,6,0,0,0,0,6,5,31,"Travis Blankenhorn",18395,663905
"Logan Porter","KCR",11,38,1,4,3,0,0.131578947,0.289473684,0.129032258,0.263157894,0.193548387,0.324324324,0.322580645,0.29685197327588053,0.302,82.06945638395602,-1.1619920274242759,-1.9784045011595515,1.076392948627472,0.04018565766002699,27,4,1,0,5,0,1,0,1,11,6,31,"Logan Porter",20626,682515
"José Tena","CLE",18,34,0,2,3,0,0.088235294,0.382352941,0.064516129,0.388888888,0.225806451,0.294117647,0.29032258,0.26435043706613426,0.238,65.22337396205138,-0.2072996161878109,-1.6240682737609924,-1.3948279172182083,-0.1846028950012641,22,5,2,0,3,0,0,0,0,13,7,31,"Jose Tena",23691,677588
"Jasson Domínguez","NYY",8,33,4,6,7,1,0.06060606,0.242424242,0.419354838,0.210526315,0.258064516,0.303030303,0.677419354,0.40301700433095294,0.355,160.0932632581022,0.09999974491074681,2.4761412829770593,-0.827654093503952,0.27739238951846024,20,3,1,0,2,0,0,0,0,8,8,31,"Jasson Dominguez",28080,691176
"Jordan Lawlar","ARI",14,34,0,2,0,1,0.058823529,0.323529411,0,0.2,0.129032258,0.205882352,0.129032258,0.16611635159043706,0.189,-4.744303224296451,-0.29571716533973813,-4.70763877174199,1.6456445157527924,-0.19013319420779265,20,4,0,0,2,0,1,0,0,11,4,31,"Jordan Lawlar",29976,691783
"Kyle Stowers","BAL",14,33,0,1,0,0,0.09090909,0.363636363,0,0.111111111,0.066666666,0.151515151,0.066666666,0.11675094655065825,0.196,-35.7074904486174,-0.039852454559877515,-5.405848368223636,0.3853570520877838,-0.38762148675648755,25,2,0,0,3,0,0,0,0,12,2,30,"Kyle Stowers",26151,669065
"Heston Kjerstad","BAL",13,33,2,3,3,0,0.06060606,0.303030303,0.233333333,0.277777777,0.233333333,0.28125,0.466666666,0.3179345428943634,0.363,103.73727002206022,0.19794004317373037,0.345715052499588,-0.5895264446735382,0.08869710225785332,24,4,1,0,2,0,0,0,0,10,7,30,"Heston Kjerstad",31166,677008
"Luis Torrens","- - -",18,30,0,1,4,0,0.033333333,0.3,0.107142857,0.368421052,0.25,0.3,0.357142857,0.28944467306137084,0.266,83.75683027525129,-0.008183503523468971,-0.6127220130181121,-1.056310422718525,-0.06449356699922212,27,4,3,0,1,0,1,0,0,9,7,28,"Luis Torrens",15905,620443
"Kyle Garlick","MIN",14,30,2,2,4,0,0.066666666,0.366666666,0.25,0.2,0.178571428,0.233333333,0.428571428,0.28029442628224693,0.333,75.71015404644767,-0.12570911459624767,-0.9988384774058727,-0.5334722753614187,-0.05006241373264476,31,2,1,0,2,0,0,0,0,11,5,28,"Kyle Garlick",18063,664247
"Edwin Ríos","CHC",18,34,1,3,2,0,0.147058823,0.470588235,0.142857143,0.09090909,0.071428571,0.235294117,0.214285714,0.21921699537950404,0.272,35.056443531248775,-0.06224443856626749,-2.7977238027043816,-0.9783851504325867,-0.2613429278207796,29,0,1,0,5,0,1,0,0,16,2,28,"Edwin Rios",18316,621458
"Drew Millas","WSN",11,33,1,1,6,0,0.121212121,0.151515151,0.178571429,0.318181818,0.285714285,0.375,0.464285714,0.36524730548262596,0.349,130.7592705277849,0.08133591944351792,1.3388371812059499,0.4021918475627899,0.2854240176526703,25,5,2,0,4,0,0,0,1,5,8,28,"Drew Millas",25643,686452
"Nathan Lukes","TOR",29,31,0,4,2,0,0.129032258,0.29032258,0.115384615,0.277777777,0.192307692,0.29032258,0.307692307,0.26593059878195485,0.276,66.42275316518341,-0.045991634484380484,-1.293200977138962,0.15467524528503418,-0.007370628974563406,28,3,1,1,4,0,0,1,0,9,5,26,"Nathan Lukes",18123,664770
"Bligh Madris","HOU",12,30,0,4,0,0,0.133333333,0.233333333,0.038461539,0.210526315,0.153846153,0.266666666,0.192307692,0.22249942620595295,0.276,36.51576804509029,-0.10108591103926301,-2.3831072586115494,-1.3226324021816254,-0.2667913148257726,27,3,1,0,4,0,0,0,0,7,4,26,"Bligh Madris",20054,676632
"Chris Owings","PIT",11,25,0,0,0,0,0,0.48,0,0.307692307,0.16,0.16,0.16,0.14120580673217772,0.129,-22.401108590060772,-0.058452121913433075,-3.8493651232495734,0.2221260592341423,-0.27699243591943057,31,4,0,0,0,0,0,0,0,12,4,25,"Chris Owings",10030,572008
"Isan Díaz","- - -",8,26,0,0,1,0,0.076923076,0.346153846,0,0.066666666,0.041666666,0.115384615,0.041666666,0.08747469461881198,0.122,-51.44224864283894,-0.02318609246140113,-4.96868700374784,0.08001897856593132,-0.39920943468820747,27,1,0,0,2,0,0,0,0,9,1,24,"Isan Diaz",17922,656371
"Dalton Guthrie","PHI",23,28,0,4,0,0,0.107142857,0.25,0.041666667,0.235294117,0.166666666,0.285714285,0.208333333,0.23946731856891088,0.281,45.479888435575624,-0.19363069022074342,-2.0848122522342667,1.7078271377831697,0.05727958205988698,27,3,1,0,3,0,1,0,0,7,4,24,"Dalton Guthrie",21293,656495
"Buddy Kennedy","ARI",10,29,0,1,1,0,0.137931034,0.206896551,0.041666667,0.222222222,0.166666666,0.310344827,0.208333333,0.2552064759977933,0.303,54.98030631194495,-0.06728994147852063,-1.684695724298442,0.5635076612234116,-0.013542205542435709,24,3,1,0,4,0,1,0,0,6,4,24,"Buddy Kennedy",22505,671083
"Greg Allen","NYY",22,28,1,6,1,3,0.071428571,0.357142857,0.260869565,0.333333333,0.217391304,0.333333333,0.478260869,0.34909676180945504,0.192,122.7199612614239,0.14464849792420864,0.9068998373536473,-0.41088615730404854,0.14534797915323022,30,2,1,1,2,0,2,0,1,10,5,23,"Greg Allen",16623,656185
"Brian Serven","COL",11,23,0,0,1,0,0,0.434782608,0.043478261,0.23076923,0.130434782,0.130434782,0.173913043,0.1308189112207164,0.127,-39.9395070293968,-0.25316161196678877,-4.2405324984922155,0.6648635566234589,-0.2786265347344156,28,2,1,0,0,0,0,0,0,10,3,23,"Brian Serven",19422,661531
"Cooper Hummel","SEA",10,26,0,2,0,1,0.076923076,0.346153846,0.043478261,0.142857142,0.086956521,0.192307692,0.130434782,0.16323497891426086,0.266,0.2467292832661202,0.3349368516355753,-2.7727200907020126,-0.8718854961916804,-0.2743932825732281,28,1,1,0,2,0,1,0,0,9,2,23,"Cooper Hummel",19458,669450
"Drew Ellis","PHI",12,29,2,4,4,0,0.206896551,0.24137931,0.260869565,0.214285714,0.217391304,0.379310344,0.478260869,0.37349028422914704,0.374,135.32676367785288,-0.49651121348142624,0.7726602797051694,-0.22392112761735916,0.1529787645759205,27,3,0,0,6,0,0,0,0,7,5,23,"Drew Ellis",19873,656403
"Josh Lester","BAL",11,23,0,0,4,0,0.04347826,0.304347826,0,0.266666666,0.181818181,0.217391304,0.181818181,0.1837412196656932,0.216,10.724936241043025,-0.07711853785440326,-2.537432795267632,-0.0690155029296875,-0.18114440990214792,28,4,0,0,1,0,0,0,0,7,4,22,"Josh Lester",17737,623507
"Yonny Hernández","LAD",14,27,0,5,4,0,0.074074074,0.296296296,0.045454545,0.2,0.136363636,0.23076923,0.181818181,0.19717868245564973,0.204,19.43056441992405,0.053318866062909365,-2.6416424975932062,-0.09155207127332687,-0.18106400978263942,25,2,1,0,2,0,1,1,1,8,3,22,"Yonny Hernandez",19432,660634
"Tommy La Stella","SEA",12,24,0,2,2,0,0.125,0.208333333,0.047619048,0.25,0.19047619,0.291666666,0.238095238,0.24912832925717035,0.244,59.781293145663085,-0.24848309997469187,-1.4050530990073495,-0.6481481194496155,-0.12255146700266117,34,3,1,0,3,0,0,0,0,5,4,21,"Tommy La Stella",12371,600303
"Austin Meadows","DET",6,21,0,0,2,0,0,0.142857142,0.047619047,0.277777777,0.238095238,0.238095238,0.285714285,0.22732893058231898,0.22,39.51068699607973,-0.04343927651643753,-1.5654949039843653,0.06483393907546997,-0.07772711191812139,28,4,1,0,0,0,0,0,0,3,5,21,"Austin Meadows",15672,640457
"Juniel Querecuto","STL",9,21,0,2,0,0,0.047619047,0.285714285,0.05,0.142857142,0.1,0.142857142,0.15,0.13439055000032699,0.219,-22.89343199921361,0.10978325922042131,-3.0873918659832498,1.473643384873867,-0.08976527018070651,30,1,1,0,1,0,0,0,0,6,2,20,"Juniel Querecuto",12140,578570
"Brian O'Keefe","SEA",8,21,0,0,2,0,0.095238095,0.333333333,0.105263158,0.166666666,0.105263157,0.19047619,0.210526315,0.18473002456483387,0.198,15.145416584439896,-0.1951027987524867,-2.3302468397458043,-0.3954063951969147,-0.1998802808355033,29,0,2,0,2,0,0,0,0,7,2,19,"Brian O'Keefe",16680,657247
"Luke Williams","- - -",11,19,0,1,0,4,0,0.368421052,0,0.083333333,0.052631578,0.052631578,0.052631578,0.046449278530321624,0.054,-75.57424606314254,0.003706245217472315,-4.303608122554163,-0.833533376455307,-0.44788576242206707,26,1,0,0,0,0,0,0,0,7,1,19,"Luke Williams",19931,663897
"Johan Camargo","SFG",8,20,0,0,2,0,0.05,0.2,0,0.285714285,0.222222222,0.3,0.222222222,0.24760265350341798,0.373,53.50407246171956,-0.07076719496399164,-1.2227960825740065,-1.2043083161115646,-0.17425936165446654,29,4,0,0,1,0,1,0,0,4,4,18,"Johan Camargo",14950,622666
"Abraham Toro","MIL",9,21,2,4,9,0,0.095238095,0.238095238,0.333333333,0.545454545,0.444444444,0.523809523,0.777777777,0.5438676476478577,0.475,249.7636588942048,-0.09183884179219604,3.8043876455525716,-2.0464213639497757,0.24645370280876303,26,6,0,0,2,0,1,0,0,5,8,18,"Abraham Toro",19844,647351
"César Salazar","HOU",13,19,0,1,0,0,0.052631578,0.315789473,0,0.166666666,0.111111111,0.157894736,0.111111111,0.12952502463993273,0.169,-27.926827633182757,-0.02355677544255741,-2.9359352298152603,0.8194364905357361,-0.14598596874156614,27,2,0,0,1,0,0,0,0,6,2,18,"Cesar Salazar",21587,663967
"Vinny Capra","PIT",9,21,0,3,1,0,0.095238095,0.238095238,0.055555556,0.23076923,0.166666666,0.25,0.222222222,0.22003203630447388,0.233,30.442748276646913,-0.02225050888955593,-1.831840422440491,0.9600196033716202,-0.015782097190389983,26,2,1,0,2,0,0,0,1,5,3,18,"Vinny Capra",25040,681962
"Ryan Kreidler","DET",11,18,0,2,0,0,0,0.388888888,0,0.181818181,0.111111111,0.111111111,0.111111111,0.09805958800845677,0.092,-50.08872786187125,0.17965502757579088,-3.0574229408938494,0.7171695977449417,-0.17172274507849816,25,2,0,0,0,0,0,0,0,7,2,18,"Ryan Kreidler",25867,668952
"Alexander Canario","CHC",6,17,1,1,6,0,0,0.470588235,0.352941176,0.5,0.294117647,0.294117647,0.647058823,0.38716451560749726,0.251,147.64580329387437,-0.7604627041146159,0.24297873630672662,-0.866980791091919,-0.0046233142398153446,23,2,1,1,0,0,0,0,0,8,5,17,"Alexander Canario",22842,672744
"Chadwick Tromp","ATL",6,16,0,1,1,0,0,0.4375,0.0625,0.222222222,0.125,0.125,0.1875,0.1328936666250229,0.151,-26.572032936645602,-0.03836699156090617,-2.5472256555631105,0.6350631862878799,-0.13646372399903575,28,1,1,0,0,0,0,0,0,7,2,16,"Chadwick Tromp",16953,644433
"Weston Wilson","PHI",8,22,1,5,2,3,0.272727272,0.227272727,0.1875,0.4,0.3125,0.5,0.5,0.44134811379692773,0.433,180.8175787583387,-0.0322496285662055,2.1704078796126636,-1.6412329971790314,0.12730996550692958,28,4,0,0,6,0,0,0,0,5,5,16,"Weston Wilson",19358,642215
"Roberto Pérez","SFG",5,17,0,0,1,0,0.117647058,0.352941176,0,0.222222222,0.133333333,0.235294117,0.133333333,0.18569872659795425,0.271,12.004659504523469,-0.03130478464299813,-1.8845251128329448,0.47051581740379333,-0.08340086269705729,34,2,0,0,2,0,0,0,0,6,2,15,"Roberto Perez",2900,547379
"Abraham Almonte","NYM",8,16,0,1,0,0,0.0625,0.5,0.066666667,0.142857142,0.066666666,0.125,0.133333333,0.12122907862067223,0.185,-29.659768943370267,-0.1409649862907827,-2.711027480656526,-0.7437531054019928,-0.29028974886794345,34,0,1,0,1,0,0,0,0,8,1,15,"Abraham Almonte",5486,501659
"Ben Gamel","SDP",6,15,0,2,2,0,0,0.133333333,0.066666666,0.23076923,0.2,0.2,0.266666666,0.20058899720509846,0.252,23.705911580103713,0.08698232937604189,-1.3307707696652171,-0.3832016736268997,-0.1200889810042483,31,2,1,0,0,0,0,0,0,2,3,15,"Ben Gamel",12160,592325
"Eli White","ATL",6,17,0,1,0,0,0.117647058,0.411764705,0,0.142857142,0.071428571,0.235294117,0.071428571,0.17649100457920747,0.297,2.6549324925129127,-0.030820494517683983,-2.0809501597716236,0.40575532615184784,-0.10944563207710872,29,1,0,0,2,0,1,0,0,7,1,14,"Eli White",19346,642201
